Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V)
0,-4.69,0.00,14.47,13.92,135,997,0.00,14.50,1.91,97,0.00,5.22,-9.58,5.02,1.46,0.00,-1.08,0.00,0.54
241,-4.69,0.00,14.59,14.00,135,982,0.00,15.50,1.88,97,0.00,5.37,-9.43,4.93,1.44,0.00,-1.08,0.00,0.54
487,-5.47,0.00,14.24,14.00,135,990,0.00,14.00,1.90,97,0.00,5.37,-9.43,4.99,1.44,0.00,-1.08,0.00,0.54
729,-5.47,0.00,14.24,14.00,135,986,0.00,14.00,1.92,97,0.00,5.37,-9.43,4.96,1.46,0.00,-1.08,0.00,0.54
974,-5.47,0.00,14.47,13.92,135,978,0.00,14.50,1.88,97,0.00,5.37,-9.43,4.99,1.44,0.00,-1.08,0.00,0.54
1218,-5.47,0.00,14.47,13.92,135,979,0.00,14.00,1.88,97,0.00,5.37,-9.43,4.99,1.46,0.00,-1.08,0.00,0.54
1462,-5.47,0.00,14.36,13.92,135,986,0.00,13.00,1.89,97,0.00,5.37,-9.43,5.05,1.44,0.00,-1.08,0.00,0.54
1707,-5.47,0.00,14.59,13.92,135,993,0.00,14.00,1.91,97,0.00,5.37,-9.43,5.01,1.44,0.00,-1.08,0.00,0.54
1953,-5.47,0.00,14.59,14.00,135,989,0.00,12.00,2.11,97,0.00,5.51,-9.43,5.11,1.44,0.00,-1.08,0.00,0.54
2200,-5.47,0.00,14.47,13.92,135,982,0.00,13.00,2.09,97,0.00,5.51,-9.29,5.14,1.46,0.00,-1.08,0.00,0.54
2444,-5.47,0.00,14.59,14.00,135,992,0.00,12.00,2.12,97,0.00,5.51,-9.29,5.08,1.46,0.00,-1.08,0.00,0.54
2686,-6.25,0.00,14.47,13.92,135,986,0.00,13.00,2.09,97,0.00,5.37,-9.29,5.11,1.44,0.00,-1.08,0.00,0.54
2930,-5.47,0.00,14.59,14.00,135,990,0.00,11.00,1.90,97,0.00,5.51,-9.29,5.05,1.46,0.00,-1.08,0.00,0.54
3174,-5.47,0.00,14.59,14.00,135,983,0.00,13.50,1.89,97,0.00,5.37,-9.43,5.08,1.46,0.00,-1.08,0.00,0.54
3420,-5.47,0.00,14.70,13.92,135,992,0.00,12.50,2.11,97,0.00,5.51,-9.29,5.08,1.44,0.00,-1.08,0.00,0.54
3664,-5.47,0.00,14.59,14.00,135,981,0.00,13.00,1.88,97,0.00,5.37,-9.43,5.05,1.46,0.00,-1.08,0.00,0.54
3907,-5.47,0.00,14.70,13.84,135,989,0.00,12.50,2.11,97,0.00,5.51,-9.29,5.14,1.44,0.00,-1.08,0.00,0.54
4154,-5.47,0.00,14.59,13.92,135,987,0.00,13.00,2.11,97,0.00,5.51,-9.29,5.28,1.52,0.00,-1.08,0.00,0.54
4396,-6.25,0.00,14.59,13.92,135,1054,0.00,6.00,2.42,97,0.00,5.95,-8.85,6.38,1.54,0.00,-1.08,0.00,0.54
4641,-9.38,0.00,13.55,13.92,135,1009,0.00,13.00,2.37,97,0.00,6.09,-8.71,6.27,1.54,0.00,-1.08,0.00,0.54
4900,-7.03,0.00,14.47,13.92,135,981,0.00,14.00,2.30,97,0.00,6.38,-8.42,6.45,1.54,0.00,-1.08,0.00,0.54
5145,-6.25,0.00,14.70,13.92,135,990,0.00,13.50,2.32,97,0.00,6.38,-8.42,6.24,1.54,0.00,-1.08,0.00,0.54
5390,-6.25,0.00,15.04,13.92,135,992,0.00,13.00,2.31,97,0.00,6.53,-8.27,6.27,1.54,0.00,-1.08,0.00,0.54
5636,-6.25,0.00,14.93,13.92,135,994,0.00,13.00,2.33,97,0.00,6.53,-8.27,6.24,1.52,0.00,-1.08,0.00,0.54
5883,-5.47,0.00,14.93,14.00,135,984,0.00,15.50,2.31,97,0.00,6.38,-8.42,6.13,1.54,0.00,-1.08,0.00,0.54
6128,-4.69,0.00,15.27,13.68,135,979,0.00,13.50,2.51,97,0.00,6.53,-8.27,6.45,1.54,0.00,-1.08,0.00,0.54
6373,-5.47,0.00,15.16,13.92,136,964,0.00,14.50,2.45,97,0.00,6.67,-8.13,6.41,1.56,0.00,-1.08,0.00,0.54
6617,-5.47,0.00,14.59,13.92,136,962,0.00,14.00,2.46,97,0.00,6.67,-8.13,6.38,1.54,0.00,-1.08,0.00,0.54
6860,-5.47,0.00,14.70,13.76,136,963,0.00,16.50,2.46,97,0.00,6.82,-7.98,6.41,1.54,0.00,-1.08,0.00,0.54
7105,-4.69,0.00,14.81,13.84,136,957,0.00,14.00,2.65,97,0.00,6.96,-7.84,6.92,1.60,0.00,-1.08,0.00,0.54
7347,-5.47,0.00,14.70,13.84,136,1000,0.00,9.50,2.55,97,0.00,6.96,-7.84,6.60,1.54,0.00,-1.08,0.00,0.54
7594,-4.69,0.00,14.81,13.92,136,976,0.00,11.50,2.50,97,0.00,6.82,-7.84,6.71,1.58,0.00,-1.08,0.00,0.54
7839,-3.91,0.00,15.16,13.92,136,991,0.00,13.00,2.54,97,0.00,6.82,-7.98,6.71,1.56,0.00,-1.08,0.00,0.54
8084,-4.69,0.00,14.81,13.92,136,983,0.00,12.00,2.52,97,0.00,6.96,-7.84,6.77,1.58,0.00,-1.08,0.00,0.54
8328,-4.69,0.00,14.81,13.92,136,994,0.00,11.50,2.52,97,0.00,6.96,-7.84,6.73,1.58,0.00,-1.08,0.00,0.54
8572,-4.69,0.00,14.81,13.92,136,995,0.00,13.50,2.55,97,0.00,6.82,-7.98,6.52,1.56,0.00,-1.08,0.00,0.54
8817,-3.91,0.00,14.93,13.92,136,1020,0.00,9.00,2.61,97,0.00,6.82,-7.98,6.73,1.56,0.00,-1.08,0.00,0.54
9059,-4.69,0.00,14.59,13.92,136,999,0.00,11.50,2.56,97,0.00,6.67,-8.13,6.63,1.58,0.00,-1.08,0.00,0.54
9304,-4.69,0.00,14.47,13.92,136,1000,0.00,12.00,2.38,97,0.00,6.67,-8.27,6.41,1.54,0.00,-1.08,0.00,0.54
9549,-5.47,0.00,14.47,13.92,136,1003,0.00,13.00,2.35,97,0.00,6.53,-8.27,6.41,1.54,0.00,-1.08,0.00,0.54
9793,-4.69,0.00,14.70,13.92,136,1016,0.00,10.50,2.38,97,0.00,6.53,-8.27,6.49,1.56,0.00,-1.08,0.00,0.54
10037,-5.47,0.00,14.24,13.84,136,992,0.00,14.00,3.19,97,0.00,6.53,-7.98,8.01,1.68,0.00,-1.08,2.75,0.64
10292,-7.81,0.00,13.90,13.84,136,1169,0.00,25.50,3.99,97,0.00,7.98,-6.53,10.74,1.82,0.00,-1.08,4.71,0.70
10547,-3.91,0.00,14.81,13.92,136,1482,0.00,29.50,4.43,97,0.00,7.98,-6.96,11.82,1.86,0.00,-1.70,4.71,0.70
10800,-0.78,0.00,15.27,14.00,136,1621,0.00,28.50,4.15,97,0.00,6.53,-8.56,8.40,1.66,0.00,-2.01,0.00,0.54
11051,-8.59,0.00,12.98,13.92,136,1480,0.00,9.50,2.53,97,0.00,5.51,-9.29,7.10,1.60,0.00,-1.70,0.00,0.54
11296,-5.47,0.00,14.01,13.92,136,1296,0.00,21.00,2.49,97,0.00,5.37,-9.43,6.49,1.56,0.00,-1.39,0.00,0.54
11543,-4.69,0.00,14.81,13.92,136,1189,0.00,21.00,2.58,97,0.00,5.37,-9.29,6.56,1.56,0.00,-1.08,0.00,0.54
11789,-4.69,0.00,14.70,13.92,136,1150,0.00,21.00,2.45,97,0.00,5.66,-9.14,6.38,1.54,0.00,-1.08,0.00,0.54
12036,-6.25,0.00,14.47,13.92,136,1100,0.00,21.00,2.35,97,0.00,5.80,-9.00,6.27,1.54,0.00,-1.08,0.00,0.54
12282,-6.25,0.00,14.24,13.92,136,1059,0.00,21.00,2.26,97,0.00,5.95,-8.85,6.21,1.52,0.00,-1.08,0.00,0.54
12524,-6.25,0.00,14.36,14.00,136,1072,0.00,21.00,2.51,97,0.00,6.09,-8.71,6.27,1.54,0.00,-1.08,0.00,0.54
12768,-5.47,0.00,14.70,13.92,136,1070,0.00,20.00,2.28,97,0.00,6.09,-8.71,6.27,1.54,0.00,-1.08,0.00,0.54
13013,-5.47,0.00,14.70,13.92,136,1020,0.00,18.00,3.70,97,0.00,6.67,-7.40,8.44,1.72,0.00,-1.08,3.53,0.66
13258,-14.84,0.00,13.09,13.92,136,1200,0.00,24.50,3.58,97,0.00,8.27,-6.53,10.79,1.80,0.00,-1.08,4.31,0.68
13501,-4.69,0.00,14.93,13.92,136,1274,0.00,25.50,3.87,97,0.00,8.27,-6.53,11.40,1.84,0.00,-1.39,4.71,0.70
13744,-3.91,0.00,15.50,13.92,136,1266,0.00,25.00,4.32,97,0.00,8.27,-6.38,11.77,1.84,0.00,-1.39,4.71,0.70
13987,-5.47,0.00,14.70,13.92,136,1166,0.00,22.50,4.48,97,0.00,8.56,-6.24,11.71,1.84,0.00,-1.08,4.71,0.70
14230,-7.03,0.00,14.24,13.92,136,1046,0.00,20.50,4.07,97,0.00,9.29,-5.22,11.61,1.84,0.00,-1.08,4.71,0.70
14474,-7.81,0.00,14.01,13.92,136,1181,0.00,23.00,4.03,97,0.00,9.58,-5.22,11.51,1.84,0.00,-1.08,4.71,0.70
14717,-0.78,0.00,15.85,13.92,136,1298,0.00,26.00,4.43,97,0.00,9.14,-5.95,11.66,1.84,0.00,-1.39,4.71,0.70
14961,-3.91,0.00,14.93,13.92,136,1377,0.00,27.00,4.41,97,0.00,8.42,-6.38,11.82,1.86,0.00,-1.70,4.71,0.70
15206,-3.91,0.00,14.70,13.92,136,1467,0.00,28.50,4.26,97,0.00,8.13,-6.82,11.61,1.84,0.00,-1.70,4.71,0.70
15448,-3.12,0.00,14.81,13.92,138,1457,0.00,28.50,4.35,97,0.00,7.69,-7.11,11.71,1.84,0.00,-1.70,4.71,0.70
15694,-4.69,0.00,14.47,13.92,138,1560,0.00,30.50,4.33,97,0.00,7.55,-7.25,12.16,1.86,0.00,-1.70,5.49,0.72
15970,-5.47,0.00,14.13,13.92,138,1584,0.00,30.50,4.73,97,0.00,7.55,-7.25,12.70,1.88,0.00,-2.01,5.49,0.72
16226,-3.91,0.00,14.70,13.92,138,1617,0.00,30.50,5.18,97,0.00,7.84,-6.96,14.29,1.94,0.00,-1.70,7.06,0.78
16473,-9.38,0.00,13.55,13.92,138,1688,0.00,30.50,6.12,97,0.00,8.85,-5.95,18.48,2.08,0.00,-1.39,8.63,0.82
16718,-6.25,0.00,14.47,13.92,138,1768,0.00,31.00,6.64,97,0.00,9.14,-5.51,20.09,2.12,0.00,-1.39,9.41,0.86
16962,-8.59,0.00,14.24,13.84,138,1857,0.00,32.50,7.13,97,0.00,9.43,-5.37,21.53,2.18,0.00,-1.39,10.20,0.88
17205,-7.81,0.00,14.36,13.92,138,1983,0.00,34.00,7.61,97,0.00,9.43,-5.37,21.98,2.18,0.00,-1.70,10.59,0.88
17449,-8.59,0.00,14.47,13.92,138,2099,0.00,35.00,7.61,97,0.00,9.29,-5.51,22.09,2.18,0.00,-1.70,10.59,0.88
17693,-8.59,0.00,14.47,13.92,138,2188,0.00,35.50,7.89,97,0.00,9.00,-5.95,22.41,2.20,0.00,-1.70,10.59,0.88
17936,-8.59,0.00,14.47,13.84,138,2252,0.00,36.50,8.17,97,0.00,8.71,-6.24,22.86,2.20,0.00,-2.01,10.59,0.88
18179,-9.38,0.00,14.24,13.92,138,2356,0.00,36.50,8.04,97,0.00,8.27,-6.53,22.96,2.20,0.00,-2.01,10.59,0.88
18435,-9.38,0.00,14.24,13.84,138,2431,0.00,37.00,7.67,97,0.00,7.98,-6.82,23.08,2.20,0.00,-2.01,10.59,0.88
18678,-10.16,0.00,14.47,13.92,138,2504,0.00,37.00,7.93,97,0.00,7.69,-7.11,23.50,2.22,0.00,-2.32,10.59,0.88
18923,-10.94,0.00,14.36,13.92,138,2537,0.00,37.00,8.12,97,0.00,7.55,-7.25,23.72,2.22,0.00,-2.32,10.98,0.88
19168,-10.94,0.00,14.36,13.92,138,2598,0.00,36.50,8.31,97,0.00,7.55,-7.25,24.38,2.24,0.00,-2.01,10.98,0.90
19413,-11.72,0.00,14.36,13.92,138,2671,0.00,36.50,8.55,97,0.00,7.69,-7.11,25.57,2.26,0.00,-2.32,10.98,0.90
19656,-11.72,0.00,14.47,13.92,138,2746,0.00,36.50,8.75,97,0.00,7.69,-7.11,26.09,2.26,0.00,-2.01,11.37,0.90
19899,-12.50,0.00,14.36,13.92,138,2804,0.00,36.50,8.97,97,0.00,7.69,-7.11,26.72,2.28,0.00,-2.32,11.37,0.92
20142,-12.50,0.00,14.47,13.92,138,2859,0.00,36.50,9.15,97,0.00,7.69,-7.11,26.82,2.30,0.00,-2.32,11.37,0.92
20387,-12.50,0.00,14.47,13.92,138,2930,0.00,37.00,9.30,97,0.00,7.69,-7.11,27.13,2.30,0.00,-2.32,11.76,0.92
20630,-12.50,0.00,14.47,13.92,138,2949,0.00,37.50,8.81,97,0.00,7.55,-7.25,27.33,2.30,0.00,-2.32,11.76,0.92
20875,-13.28,0.00,14.47,13.92,138,3025,0.00,37.50,9.04,97,0.00,7.55,-7.25,27.54,2.30,0.00,-2.32,11.76,0.92
21120,-13.28,0.00,14.47,13.92,138,3086,0.00,38.00,9.22,97,0.00,7.55,-7.25,27.33,2.30,0.00,-2.32,12.16,0.92
21366,-13.28,0.00,14.47,13.92,138,3139,0.00,38.00,9.38,97,0.00,7.55,-7.25,27.75,2.30,0.00,-2.32,12.16,0.92
21609,-14.84,0.00,13.32,13.92,138,3202,0.00,34.00,6.83,97,0.00,5.66,-10.30,12.63,1.62,0.00,-4.80,0.00,0.54
21855,0.00,0.00,11.25,14.00,138,2874,0.00,22.50,0.00,97,0.00,3.34,-11.32,6.84,1.58,0.00,-4.49,0.00,0.54
22098,0.00,0.00,18.72,14.00,138,2331,0.00,15.50,0.00,97,0.00,3.48,-11.32,6.88,1.58,0.00,-3.25,0.00,0.54
22342,0.00,0.00,23.43,14.00,138,1824,0.00,14.00,0.00,97,0.00,4.06,-10.59,7.24,1.62,0.00,-2.94,0.00,0.54
22584,0.00,0.00,23.77,14.00,138,1458,0.00,14.00,0.00,97,0.00,4.79,-9.58,8.09,1.66,0.00,-2.01,1.96,0.62
22828,0.00,0.00,23.54,14.00,138,1403,0.00,22.50,4.19,97,0.00,6.53,-8.27,10.68,1.80,0.00,-1.70,4.71,0.68
23072,-0.78,0.00,14.36,14.00,138,1862,0.00,31.50,4.84,97,0.00,6.24,-8.71,11.29,1.82,0.00,-2.63,4.71,0.70
23314,-1.56,0.00,14.36,14.00,140,1760,0.00,33.50,4.50,97,0.00,6.09,-8.71,11.66,1.86,0.00,-2.32,5.49,0.72
23560,-6.25,0.00,13.78,13.92,140,1803,0.00,32.50,5.77,97,0.00,7.11,-7.55,15.66,2.00,0.00,-2.01,7.45,0.78
23804,-5.47,0.00,13.90,14.00,140,1812,0.00,33.00,5.80,97,0.00,7.69,-7.11,16.36,2.02,0.00,-1.70,7.84,0.80
24048,-7.03,0.00,14.47,13.92,140,1854,0.00,33.00,5.88,97,0.00,7.84,-6.96,16.74,2.04,0.00,-2.01,7.84,0.80
24292,-7.03,0.00,14.36,13.92,140,1878,0.00,34.00,6.01,97,0.00,7.84,-6.96,16.74,2.02,0.00,-2.01,7.84,0.80
24539,-7.03,0.00,14.47,14.00,140,1898,0.00,34.00,6.07,97,0.00,7.84,-6.96,16.74,2.02,0.00,-2.01,7.84,0.80
24784,-7.03,0.00,14.47,14.00,140,1918,0.00,34.00,5.73,97,0.00,7.55,-7.25,16.02,2.00,0.00,-2.01,7.45,0.78
25026,-8.59,0.00,14.36,14.00,140,1957,0.00,35.50,5.01,97,0.00,7.11,-7.69,14.64,1.94,0.00,-2.32,6.27,0.74
25271,-9.38,0.00,14.36,13.92,140,1963,0.00,35.50,4.61,97,0.00,6.67,-8.42,13.25,1.90,0.00,-2.63,5.10,0.70
25517,-11.72,0.00,14.01,13.92,140,1984,0.00,32.00,4.23,97,0.00,5.95,-8.85,11.51,1.84,0.00,-2.63,4.71,0.70
25760,-10.94,0.00,14.47,14.00,140,1984,0.00,30.50,3.81,97,0.00,5.80,-9.14,11.18,1.82,0.00,-2.63,4.71,0.70
26003,-10.94,0.00,14.70,14.00,140,1976,0.00,30.50,4.22,97,0.00,5.66,-9.14,11.07,1.80,0.00,-2.63,4.71,0.70
26244,-10.94,0.00,14.70,14.00,140,1990,0.00,30.00,3.82,97,0.00,5.66,-9.14,10.84,1.80,0.00,-2.63,4.71,0.70
26487,-10.16,0.00,14.70,13.92,140,1984,0.00,30.50,4.23,97,0.00,5.66,-9.14,10.96,1.82,0.00,-2.63,4.71,0.70
26732,-10.16,0.00,14.70,13.92,140,1976,0.00,30.50,4.23,97,0.00,5.66,-9.14,11.06,1.82,0.00,-2.63,4.71,0.70
26975,-10.16,0.00,14.70,13.92,140,1991,0.00,30.50,4.25,97,0.00,5.51,-9.29,10.95,1.82,0.00,-2.63,4.71,0.70
27224,-9.38,0.00,14.70,14.00,140,1990,0.00,30.00,4.24,97,0.00,5.66,-9.14,11.01,1.82,0.00,-2.63,4.71,0.70
27469,-9.38,0.00,14.70,14.00,140,1986,0.00,30.00,4.24,97,0.00,5.66,-9.14,10.96,1.80,0.00,-2.63,4.71,0.70
27713,-9.38,0.00,14.70,14.00,140,1996,0.00,30.00,4.24,97,0.00,5.66,-9.14,10.95,1.80,0.00,-2.63,4.71,0.70
27957,-9.38,0.00,14.70,14.00,140,1986,0.00,30.00,4.24,97,0.00,5.66,-9.14,11.01,1.82,0.00,-2.63,4.71,0.70
28202,-9.38,0.00,14.59,14.00,140,1991,0.00,30.00,4.25,97,0.00,5.66,-9.14,10.96,1.80,0.00,-2.63,4.71,0.70
28444,-8.59,0.00,14.70,13.92,140,2006,0.00,30.00,4.28,97,0.00,5.66,-9.14,11.01,1.80,0.00,-2.94,4.71,0.70
28687,-8.59,0.00,14.70,14.00,140,1991,0.00,30.00,4.25,97,0.00,5.66,-9.29,10.95,1.82,0.00,-2.94,4.71,0.70
28930,-8.59,0.00,14.70,14.00,140,2003,0.00,30.00,4.27,97,0.00,5.66,-9.29,10.96,1.80,0.00,-2.94,4.71,0.70
29175,-8.59,0.00,14.59,14.00,140,1995,0.00,29.50,4.26,97,0.00,5.66,-9.14,10.84,1.82,0.00,-2.94,4.71,0.70
29422,-7.81,0.00,14.70,14.00,140,1992,0.00,30.50,4.23,97,0.00,5.66,-9.14,10.96,1.80,0.00,-2.63,4.71,0.70
29669,-8.59,0.00,14.59,14.00,140,1986,0.00,30.00,4.24,97,0.00,5.66,-9.14,10.96,1.80,0.00,-2.63,4.71,0.70
29912,-7.81,0.00,14.70,14.00,140,1994,0.00,30.00,4.25,97,0.00,5.66,-9.14,10.84,1.80,0.00,-2.94,4.71,0.70
30158,-7.81,0.00,14.70,14.00,140,1980,0.00,30.00,4.22,97,0.00,5.66,-9.14,10.96,1.80,0.00,-2.63,4.71,0.70
30401,-7.81,0.00,14.59,14.00,140,1974,0.00,30.50,4.29,97,0.00,5.66,-9.14,10.96,1.80,0.00,-2.63,4.71,0.70
30645,-7.81,0.00,14.70,14.00,140,1999,0.00,30.50,4.26,97,0.00,5.66,-9.14,10.95,1.82,0.00,-2.63,4.71,0.70
30888,-7.81,0.00,14.70,13.92,142,1988,0.00,30.50,4.24,97,0.00,5.66,-9.14,11.12,1.82,0.00,-2.63,4.71,0.70
31130,-7.81,0.00,14.70,13.92,142,1985,0.00,31.00,4.23,97,0.00,5.66,-9.14,11.28,1.82,0.00,-2.63,4.71,0.70
31375,-7.03,0.00,14.70,13.92,142,2003,0.00,32.50,4.25,97,0.00,5.80,-9.00,11.66,1.86,0.00,-2.63,5.10,0.72
31622,-7.03,0.00,14.59,14.00,142,2005,0.00,33.50,4.71,97,0.00,5.95,-8.85,12.15,1.86,0.00,-2.63,5.49,0.72
31870,-7.03,0.00,14.59,14.00,142,1993,0.00,34.00,4.68,97,0.00,6.09,-8.71,12.41,1.88,0.00,-2.63,5.49,0.72
32133,-7.03,0.00,14.70,14.00,142,2012,0.00,35.00,4.72,97,0.00,6.24,-8.56,12.90,1.90,0.00,-2.63,5.49,0.72
32378,-7.81,0.00,14.47,14.00,142,2005,0.00,36.00,4.71,97,0.00,6.38,-8.42,13.25,1.90,0.00,-2.63,5.88,0.74
32619,-8.59,0.00,14.47,14.00,142,2010,0.00,36.50,5.10,97,0.00,6.53,-8.27,13.89,1.94,0.00,-2.63,5.88,0.74
32866,-8.59,0.00,14.47,13.92,142,2012,0.00,36.00,5.15,97,0.00,6.67,-7.98,14.75,1.96,0.00,-2.32,6.67,0.76
33108,-8.59,0.00,14.59,14.00,142,2021,0.00,35.50,6.04,97,0.00,7.11,-7.69,15.97,2.00,0.00,-2.32,7.45,0.78
33351,-8.59,0.00,14.47,14.00,142,2029,0.00,35.50,6.00,97,0.00,7.40,-7.25,17.86,2.06,0.00,-2.01,8.24,0.82
33595,-9.38,0.00,14.36,14.00,142,2038,0.00,35.00,6.52,97,0.00,7.84,-6.82,18.38,2.10,0.00,-2.01,8.63,0.82
33841,-8.59,0.00,14.59,13.92,142,2070,0.00,35.00,6.63,97,0.00,8.13,-6.67,19.42,2.10,0.00,-2.01,8.63,0.82
34082,-9.38,0.00,14.36,13.92,142,2091,0.00,35.50,6.69,97,0.00,8.27,-6.53,19.76,2.12,0.00,-2.01,9.02,0.84
34324,-10.16,0.00,14.47,13.92,142,2132,0.00,35.50,6.72,97,0.00,8.27,-6.53,20.01,2.12,0.00,-2.01,9.02,0.84
34568,-10.16,0.00,14.47,13.92,142,2146,0.00,35.50,6.87,97,0.00,8.27,-6.53,20.35,2.12,0.00,-2.01,9.41,0.84
34812,-10.16,0.00,14.36,13.92,142,2147,0.00,35.50,6.87,97,0.00,8.27,-6.53,20.68,2.14,0.00,-2.01,9.41,0.84
35057,-10.16,0.00,14.47,13.92,142,2172,0.00,35.50,6.93,97,0.00,8.27,-6.53,20.68,2.14,0.00,-2.01,9.41,0.84
35300,-10.16,0.00,14.59,13.92,142,2182,0.00,35.50,6.98,97,0.00,8.27,-6.53,20.94,2.16,0.00,-2.01,9.41,0.84
35545,-10.94,0.00,14.47,14.00,142,2205,0.00,36.00,7.06,97,0.00,8.27,-6.67,20.94,2.16,0.00,-2.01,9.41,0.86
35787,-10.16,0.00,14.59,14.00,142,2227,0.00,36.00,7.13,97,0.00,8.13,-6.67,21.27,2.16,0.00,-2.01,9.41,0.86
36031,-10.16,0.00,14.59,14.00,142,2250,0.00,36.00,7.14,97,0.00,8.13,-6.67,21.01,2.16,0.00,-2.01,9.41,0.86
36274,-10.94,0.00,14.47,13.92,142,2264,0.00,36.00,7.25,97,0.00,8.13,-6.67,21.11,2.16,0.00,-2.01,9.80,0.86
36518,-10.94,0.00,14.59,13.92,142,2278,0.00,36.50,7.29,97,0.00,7.98,-6.82,21.45,2.16,0.00,-2.01,9.80,0.86
36761,-11.72,0.00,14.59,13.92,142,2311,0.00,36.50,7.28,97,0.00,7.98,-6.82,21.27,2.16,0.00,-2.01,9.41,0.86
37006,-10.94,0.00,14.59,13.92,142,2302,0.00,36.50,7.40,97,0.00,7.98,-6.96,21.45,2.16,0.00,-2.01,9.41,0.86
37248,-11.72,0.00,14.59,13.92,142,2300,0.00,36.50,7.36,97,0.00,7.84,-6.96,21.36,2.16,0.00,-2.01,9.80,0.86
37495,-10.94,0.00,14.59,13.92,144,2336,0.00,36.50,7.47,97,0.00,7.84,-6.96,21.27,2.16,0.00,-2.01,9.41,0.86
37739,-11.72,0.00,14.59,13.92,144,2349,0.00,36.50,6.99,97,0.00,7.84,-7.11,21.27,2.16,0.00,-2.01,9.41,0.86
37982,-11.72,0.00,14.59,13.92,144,2354,0.00,36.50,7.03,97,0.00,7.69,-7.11,21.45,2.16,0.00,-2.01,9.41,0.86
38228,-11.72,0.00,14.59,13.92,144,2363,0.00,37.00,7.06,97,0.00,7.69,-7.11,21.36,2.16,0.00,-2.32,9.41,0.86
38473,-11.72,0.00,14.47,13.92,144,2383,0.00,37.00,7.12,97,0.00,7.55,-7.25,21.36,2.16,0.00,-2.32,9.41,0.86
38716,-12.50,0.00,14.36,13.92,144,2368,0.00,37.00,7.16,97,0.00,7.55,-7.25,21.44,2.16,0.00,-2.32,9.41,0.86
38960,-11.72,0.00,14.59,13.92,144,2379,0.00,37.00,7.11,97,0.00,7.55,-7.25,21.61,2.18,0.00,-2.32,9.41,0.86
39209,-12.50,0.00,14.59,13.92,144,2422,0.00,37.00,7.23,97,0.00,7.55,-7.25,21.45,2.16,0.00,-2.32,9.41,0.86
39452,-11.72,0.00,14.59,13.92,144,2412,0.00,37.00,7.20,97,0.00,7.40,-7.40,21.19,2.16,0.00,-2.32,9.41,0.86
39696,-10.94,0.00,14.70,13.92,144,2431,0.00,37.00,7.22,97,0.00,7.40,-7.40,21.53,2.16,0.00,-2.32,9.41,0.86
39939,-10.94,0.00,14.47,13.92,144,2446,0.00,37.00,7.31,97,0.00,7.40,-7.40,21.45,2.16,0.00,-2.32,9.41,0.86
40182,-11.72,0.00,14.24,13.92,144,2450,0.00,37.00,7.32,97,0.00,7.40,-7.40,21.11,2.16,0.00,-2.32,9.41,0.86
40428,-11.72,0.00,14.47,13.92,144,2456,0.00,37.00,7.33,97,0.00,7.40,-7.55,21.36,2.16,0.00,-2.32,9.41,0.86
40671,-11.72,0.00,14.59,13.92,144,2465,0.00,37.00,7.36,97,0.00,7.25,-7.55,21.27,2.16,0.00,-2.32,9.80,0.86
40916,-11.72,0.00,14.59,13.92,144,2476,0.00,37.00,7.39,97,0.00,7.25,-7.55,21.61,2.16,0.00,-2.32,9.41,0.86
41159,-11.72,0.00,14.47,13.92,144,2484,0.00,37.00,7.42,97,0.00,7.25,-7.55,21.01,2.16,0.00,-2.32,9.41,0.86
41402,-12.50,0.00,14.59,13.92,144,2506,0.00,37.50,6.91,97,0.00,7.11,-7.69,21.11,2.16,0.00,-2.32,9.41,0.86
41650,-11.72,0.00,14.59,13.84,144,2495,0.00,37.50,6.92,97,0.00,7.11,-7.69,21.11,2.14,0.00,-2.32,9.41,0.86
41893,-12.50,0.00,14.36,13.92,144,2510,0.00,37.50,6.96,97,0.00,7.11,-7.69,21.03,2.16,0.00,-2.32,9.41,0.86
42140,-12.50,0.00,14.59,13.92,144,2528,0.00,37.50,7.01,97,0.00,6.96,-7.84,20.78,2.14,0.00,-2.32,9.41,0.84
42384,-12.50,0.00,14.36,14.00,144,2531,0.00,37.50,7.06,97,0.00,6.96,-7.84,20.86,2.14,0.00,-2.32,9.41,0.84
42631,-11.72,0.00,14.59,14.00,144,2554,0.00,37.50,7.08,97,0.00,6.82,-7.98,20.43,2.14,0.00,-2.63,9.02,0.84
42878,-12.50,0.00,14.47,14.00,144,2572,0.00,37.50,6.58,97,0.00,6.82,-8.13,20.17,2.12,0.00,-2.63,9.02,0.84
43121,-12.50,0.00,14.59,14.00,144,2568,0.00,38.00,6.57,97,0.00,6.38,-8.42,18.82,2.08,0.00,-2.94,7.84,0.80
43366,-14.06,0.00,14.24,14.00,144,2582,0.00,36.50,5.52,97,0.00,5.95,-9.00,16.65,2.00,0.00,-3.25,6.67,0.76
