Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
0,-1.56,0.00,14.70,13.84,192,0.34,1688,0.00,30.50,2.88,109,0.00,5.80,-8.85,9.72,1.62,0.00,7.06,65.38
318,0.00,0.00,14.70,13.76,192,0.36,1693,0.00,31.00,2.89,109,0.00,5.95,-8.71,9.82,1.60,0.00,7.06,60.23
637,2.34,0.00,14.93,13.60,192,0.36,1681,0.00,30.50,2.90,109,0.00,6.09,-8.71,9.97,1.64,0.00,7.45,61.95
957,4.69,0.00,14.93,13.52,192,0.36,1691,0.00,31.00,2.92,109,0.00,6.09,-8.56,10.09,1.64,0.00,7.45,61.95
1275,4.69,0.00,14.70,13.68,192,0.60,1713,0.00,32.50,3.33,109,0.00,7.98,-6.82,14.47,1.72,0.00,8.24,77.19
1594,-13.28,0.00,12.29,13.84,192,0.33,1683,0.00,31.50,2.51,109,0.00,6.53,-7.98,9.01,1.58,0.00,6.67,50.40
1913,-7.81,0.00,14.47,13.84,192,0.35,1773,0.00,32.00,3.03,109,0.00,6.24,-8.56,10.56,1.66,0.00,7.84,63.76
2232,-7.81,0.00,15.16,13.76,192,0.41,1691,0.00,31.50,2.89,109,0.00,6.67,-8.13,11.85,1.74,0.00,8.63,65.25
2550,-0.78,0.00,15.16,13.68,194,0.45,1712,0.00,32.00,2.90,109,0.00,6.96,-7.69,12.67,1.78,0.00,9.02,67.74
2870,5.47,0.00,15.50,13.60,194,0.43,1734,0.00,32.50,2.91,109,0.00,7.11,-7.55,12.61,1.76,0.00,9.02,61.66
3188,10.94,0.00,15.27,13.84,194,0.43,1699,0.00,32.50,3.26,109,0.00,7.11,-7.55,12.34,1.76,0.00,9.02,62.09
3507,14.06,0.00,15.04,13.76,194,0.42,1743,0.00,33.00,3.40,109,0.00,6.96,-7.69,11.84,1.70,0.00,8.24,63.82
3826,14.06,0.00,14.59,13.76,194,0.33,1770,0.00,31.50,2.99,109,0.00,5.95,-8.71,9.73,1.60,0.00,7.06,57.94
4145,10.94,0.00,14.24,13.76,194,0.33,1760,0.00,32.00,3.03,109,0.00,5.66,-9.00,9.91,1.62,0.00,7.06,62.46
4464,7.81,0.00,14.13,13.84,194,0.34,1783,0.00,32.00,3.04,108,0.00,5.66,-9.00,9.88,1.62,0.00,7.06,62.28
4783,4.69,0.00,14.24,13.84,194,0.33,1760,0.00,31.50,3.00,108,0.00,5.66,-9.00,9.97,1.62,0.00,7.06,62.49
5101,2.34,0.00,14.13,13.84,194,0.33,1782,0.00,32.00,3.04,108,0.00,5.66,-9.00,9.79,1.60,0.00,6.67,61.75
5420,-0.78,0.00,14.24,13.84,194,0.33,1758,0.00,31.00,3.00,108,0.00,5.51,-9.14,9.55,1.60,0.00,6.67,62.46
5739,-2.34,0.00,14.36,13.84,194,0.32,1780,0.00,31.50,2.66,108,0.00,5.51,-9.29,9.51,1.60,0.00,6.67,61.53
6058,-2.34,0.00,14.47,13.84,194,0.33,1753,0.00,31.50,2.99,108,0.00,5.51,-9.14,9.67,1.60,0.00,6.67,62.93
