Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
0,-14.84,14.84,14.59,14.16,154,0.31,1005,0.00,17.00,1.71,90,0.00,6.53,-8.27,5.18,1.32,0.00,3.53,48.71
319,-14.84,14.84,14.59,14.08,154,0.30,1024,0.00,15.50,1.75,90,0.00,6.38,-8.27,5.02,1.32,0.00,3.53,47.84
637,-14.84,14.84,14.59,14.16,154,0.30,1000,0.00,17.00,1.68,90,0.00,6.38,-8.27,5.13,1.32,0.00,3.53,48.46
956,-14.84,14.84,14.59,14.08,154,0.30,1004,0.00,16.00,1.75,90,0.00,6.38,-8.27,5.10,1.32,0.00,3.53,48.25
1275,-15.62,14.84,14.70,14.16,154,0.31,1002,0.00,16.50,1.71,90,0.00,6.38,-8.27,5.05,1.32,0.00,3.53,48.61
1594,-15.62,14.84,14.59,13.92,154,0.29,1014,0.00,16.50,1.73,90,0.00,6.38,-8.27,5.02,1.32,0.00,3.53,47.02
1912,-15.62,14.84,14.59,14.08,154,0.30,994,0.00,17.00,1.73,90,0.00,6.38,-8.27,5.05,1.30,0.00,3.53,48.25
2231,-15.62,14.84,14.59,14.16,154,0.29,1003,0.00,17.00,1.71,90,0.00,6.38,-8.27,4.89,1.32,0.00,3.14,46.87
2550,-16.41,14.84,14.59,14.08,154,0.30,982,0.00,17.50,1.68,90,0.00,6.38,-8.42,4.97,1.30,0.00,3.14,47.77
2868,-16.41,14.84,14.59,14.16,154,0.31,965,0.00,18.00,1.68,90,0.00,6.38,-8.27,4.99,1.30,0.00,3.14,49.42
3187,-16.41,14.84,14.59,14.16,154,0.30,979,0.00,17.00,1.67,90,0.00,6.53,-8.27,4.86,1.30,0.00,3.14,46.10
3505,-16.41,14.84,14.59,14.08,154,0.29,982,0.00,17.00,1.68,90,0.00,6.38,-8.27,4.94,1.28,0.00,3.14,46.28
3824,-16.41,14.84,14.70,14.16,154,0.30,1001,0.00,17.50,1.71,90,0.00,6.38,-8.27,4.75,1.30,0.00,3.14,46.67
4142,-16.41,14.84,14.70,14.16,154,0.29,991,0.00,16.00,1.69,90,0.00,6.38,-8.27,4.83,1.30,0.00,3.14,46.46
4461,-16.41,14.84,14.70,14.08,154,0.29,975,0.00,17.00,1.66,90,0.00,6.38,-8.27,4.89,1.28,0.00,3.14,46.06
4779,-16.41,14.84,14.70,14.08,154,0.30,978,0.00,17.00,1.67,90,0.00,6.53,-8.27,4.75,1.30,0.00,3.14,47.65
5097,-16.41,14.84,14.70,14.16,154,0.30,904,0.00,17.00,1.63,90,0.00,6.53,-8.13,4.91,1.30,0.00,3.14,46.33
5417,-16.41,14.84,14.81,14.08,154,0.30,990,0.00,17.00,1.69,90,0.00,6.53,-8.13,4.83,1.30,0.00,3.14,46.33
5735,-16.41,14.84,14.81,14.16,154,0.30,974,0.00,16.50,1.66,90,0.00,6.53,-8.13,4.80,1.30,0.00,3.14,46.35
6054,-15.62,14.84,14.81,14.16,154,0.31,966,0.00,17.50,1.65,90,0.00,6.53,-8.13,4.99,1.30,0.00,3.14,48.71
6373,-15.62,14.84,14.81,14.08,154,0.30,978,0.00,16.00,1.67,90,0.00,6.53,-8.13,4.80,1.30,0.00,3.14,46.45
6692,-15.62,14.84,14.70,14.16,154,0.29,985,0.00,15.50,1.68,90,0.00,6.53,-8.13,4.97,1.30,0.00,3.14,45.46
7010,-15.62,14.84,14.70,14.08,156,0.30,1000,0.00,17.00,1.71,90,0.00,6.53,-8.27,4.94,1.30,0.00,3.14,46.90
7329,-15.62,14.84,14.70,14.08,156,0.30,977,0.00,16.50,1.67,90,0.00,6.53,-8.13,4.89,1.30,0.00,3.14,46.77
7647,-15.62,14.84,14.70,14.16,156,0.30,973,0.00,17.00,1.69,90,0.00,6.53,-8.27,4.99,1.30,0.00,3.14,47.43
7967,-15.62,14.84,14.70,14.00,156,0.29,996,0.00,15.00,1.70,90,0.00,6.53,-8.27,4.80,1.30,0.00,3.14,45.85
8285,-15.62,14.84,14.59,14.08,156,0.29,993,0.00,16.00,1.68,90,0.00,6.38,-8.27,4.91,1.30,0.00,3.14,46.17
8604,-15.62,14.84,14.70,14.08,156,0.30,1004,0.00,17.00,1.71,90,0.00,6.38,-8.27,4.86,1.30,0.00,3.14,46.71
8922,-15.62,14.84,14.59,14.08,156,0.28,1008,0.00,14.50,1.71,90,0.00,6.38,-8.27,4.80,1.30,0.00,3.14,45.00
9242,-16.41,14.84,14.59,14.16,156,0.29,986,0.00,17.00,1.68,90,0.00,6.24,-8.42,4.94,1.28,0.00,3.14,46.16
9560,-16.41,14.84,14.59,14.16,156,0.31,989,0.00,19.00,1.69,90,0.00,6.38,-8.27,4.86,1.30,0.00,3.14,47.73
9879,-16.41,14.84,14.59,14.08,156,0.28,980,0.00,17.00,1.67,90,0.00,6.38,-8.27,4.70,1.28,0.00,3.14,45.02
10197,-16.41,14.84,14.70,14.16,156,0.29,979,0.00,17.00,1.67,90,0.00,6.38,-8.27,4.83,1.28,0.00,3.14,46.77
10518,-16.41,14.84,14.70,14.16,156,0.29,975,0.00,16.50,1.66,90,0.00,6.38,-8.27,4.51,1.30,0.00,3.14,44.19
10837,-16.41,14.84,14.70,14.16,156,0.28,952,0.00,18.00,1.63,90,0.00,6.38,-8.27,4.70,1.28,0.00,3.14,45.25
11155,-16.41,14.84,14.81,14.16,156,0.29,974,0.00,16.50,1.66,90,0.00,6.53,-8.13,4.51,1.28,0.00,3.14,45.06
11474,-16.41,14.84,14.70,14.08,156,0.27,970,0.00,17.00,1.64,90,0.00,6.38,-8.27,4.59,1.28,0.00,2.75,41.16
11793,-15.62,14.84,14.81,14.08,156,0.28,973,0.00,17.50,1.66,90,0.00,6.53,-8.27,4.43,1.28,0.00,3.14,45.33
12112,-15.62,14.84,14.81,14.00,156,0.29,946,0.00,18.00,1.61,90,0.00,6.53,-8.27,4.51,1.28,0.00,3.14,44.84
12431,-15.62,14.84,14.81,14.08,156,0.32,927,0.00,20.50,1.58,90,0.00,6.67,-8.13,4.86,1.30,0.00,3.14,48.40
12750,-14.84,14.84,14.81,14.16,156,0.30,957,0.00,16.50,1.63,90,0.00,6.67,-7.98,4.89,1.30,0.00,3.14,46.41
13068,-14.06,14.84,14.93,14.08,156,0.32,968,0.00,17.00,1.65,90,0.00,6.67,-7.98,5.05,1.30,0.00,3.53,47.40
13386,-14.06,14.84,14.93,14.08,156,0.31,963,0.00,16.50,1.64,90,0.00,6.67,-7.98,4.94,1.32,0.00,3.53,47.63
13705,-13.28,14.84,14.93,14.16,156,0.31,967,0.00,15.50,1.68,90,0.00,6.67,-7.98,5.13,1.32,0.00,3.53,47.91
14024,-13.28,14.84,14.81,14.00,156,0.31,978,0.00,15.50,1.67,90,0.00,6.67,-8.13,5.02,1.32,0.00,3.14,47.92
14342,-13.28,14.84,14.70,14.16,158,0.31,952,0.00,17.00,1.63,90,0.00,6.53,-8.13,5.07,1.30,0.00,3.53,46.88
14661,-13.28,14.84,14.70,14.08,158,0.31,988,0.00,17.00,1.69,90,0.00,6.53,-8.13,4.89,1.30,0.00,3.14,47.18
14980,-14.06,14.84,14.59,14.08,158,0.30,984,0.00,16.00,1.68,90,0.00,6.53,-8.13,4.89,1.30,0.00,3.14,46.60
15300,-14.06,14.84,14.59,14.08,158,0.29,983,0.00,16.00,1.71,90,0.00,6.53,-8.27,4.94,1.30,0.00,3.53,46.93
15618,-14.06,14.84,14.59,14.16,158,0.30,992,0.00,15.50,1.69,90,0.00,6.53,-8.27,4.89,1.30,0.00,3.14,46.63
15936,-14.84,14.84,14.59,14.08,158,0.29,992,0.00,16.00,1.67,90,0.00,6.53,-8.27,4.91,1.30,0.00,3.14,45.78
16255,-14.84,14.84,14.59,14.08,158,0.31,982,0.00,19.00,1.68,90,0.00,6.38,-8.27,4.86,1.30,0.00,3.14,47.75
16573,-14.84,14.84,14.59,14.08,158,0.29,969,0.00,17.00,1.65,90,0.00,6.53,-8.27,4.72,1.32,0.00,3.14,45.79
