Time (msec),Volumetric Efficiency 2.5L (Calculated) (%),Throttle Opening Angle (%),Primary Wastegate Duty Cycle (%),Mass Airflow Sensor Voltage (V),Mass Airflow (g/s),Manifold Relative Pressure (psi),Manifold Absolute Pressure (psi),Knock Correction Advance (degrees),Intake Air Temperature (F),Injector Duty Cycle (%),Ignition Total Timing (degrees),Feedback Knock Correction (4-byte)* (degrees),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Coolant Temperature (F),Battery Voltage (V),A/F Sensor #1 (AFR),A/F Learning #1 (%),A/F Correction #1 (%)
0,32.33,2.75,0.00,1.22,3.15,-8.27,6.38,0.00,82,1.56,16.00,0.00,933,0.21,187,13.68,14.59,14.84,15.62
317,34.44,2.75,0.00,1.22,3.19,-8.27,6.38,0.00,82,1.55,17.00,0.00,906,0.21,187,13.76,14.59,14.84,15.62
635,32.92,2.75,0.00,1.22,3.21,-8.27,6.38,0.00,82,1.58,16.50,0.00,912,0.21,187,13.84,14.59,14.84,15.62
954,33.32,2.75,0.00,1.22,3.26,-8.27,6.38,0.00,82,1.57,16.00,0.00,904,0.22,187,13.68,14.70,14.84,15.62
1273,32.24,2.75,0.00,1.22,3.15,-8.27,6.38,0.00,82,1.56,17.00,0.00,916,0.21,187,13.84,14.70,14.84,15.62
1591,32.25,2.75,0.00,1.24,3.28,-8.27,6.38,0.00,82,1.55,16.50,0.00,906,0.21,187,13.76,14.59,14.84,14.84
1910,33.20,2.35,0.00,1.22,3.19,-8.27,6.38,0.00,82,1.56,17.00,0.00,917,0.20,187,13.84,14.59,14.84,14.84
2228,32.71,2.35,0.00,1.22,3.15,-8.27,6.38,0.00,82,1.56,17.00,0.00,912,0.21,187,13.76,14.59,14.84,14.84
2547,33.33,2.35,0.00,1.24,3.19,-8.27,6.53,0.00,82,1.54,17.00,0.00,889,0.22,187,13.84,14.59,14.84,14.84
2866,31.22,2.35,0.00,1.20,3.06,-8.13,6.53,0.00,82,1.57,17.00,0.00,908,0.21,187,13.76,14.70,14.84,14.84
3185,32.76,2.75,0.00,1.24,3.30,-8.27,6.38,0.00,82,1.55,17.00,0.00,906,0.22,187,13.76,14.70,14.84,14.84
3503,33.32,2.35,0.00,1.22,3.12,-8.27,6.38,0.00,82,1.55,17.00,0.00,912,0.21,187,13.76,14.70,14.84,14.84
3823,32.38,2.35,0.00,1.22,3.15,-8.13,6.53,0.00,82,1.56,17.00,0.00,912,0.21,187,13.68,14.70,14.84,14.84
4142,33.77,2.35,0.00,1.24,3.24,-8.27,6.53,0.00,82,1.54,17.00,0.00,903,0.22,187,13.76,14.70,14.84,14.84
4459,31.88,2.75,0.00,1.22,3.12,-8.13,6.53,0.00,82,1.56,17.00,0.00,903,0.21,187,13.60,14.70,14.84,14.84
4779,32.26,2.35,0.00,1.24,3.28,-8.13,6.53,0.00,82,1.52,17.00,0.00,888,0.22,187,13.76,14.70,14.84,14.84
5097,33.57,2.75,0.00,1.22,3.24,-8.13,6.53,0.00,82,1.53,17.50,0.00,900,0.21,187,13.68,14.70,14.84,14.84
5416,32.19,2.75,0.00,1.22,3.17,-8.13,6.53,0.00,82,1.56,17.00,0.00,915,0.21,187,13.76,14.70,14.84,14.84
5735,33.17,2.75,0.00,1.24,3.24,-8.27,6.53,0.00,82,1.53,16.00,0.00,891,0.22,187,13.84,14.70,14.84,14.84
