Time (msec),Volumetric Efficiency 2.5L (Calculated) (%),Throttle Opening Angle (%),Primary Wastegate Duty Cycle (%),Mass Airflow Sensor Voltage (V),Mass Airflow (g/s),Manifold Relative Pressure (psi),Manifold Absolute Pressure (psi),Knock Correction Advance (degrees),Intake Air Temperature (F),Injector Duty Cycle (%),Ignition Total Timing (degrees),Feedback Knock Correction (4-byte)* (degrees),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Coolant Temperature (F),Battery Voltage (V),A/F Sensor #1 (AFR),A/F Learning #1 (%),A/F Correction #1 (%)
0,42.56,4.31,0.00,1.40,5.15,-8.85,5.95,0.00,81,2.07,17.50,0.00,1224,0.25,135,13.84,14.70,9.38,24.22
319,43.65,4.31,0.00,1.40,5.06,-8.71,5.95,0.00,81,2.03,21.00,0.00,1179,0.25,135,13.84,14.70,7.81,24.22
637,41.40,4.31,0.00,1.38,4.88,-8.56,6.09,0.00,81,1.98,22.00,0.00,1153,0.25,135,13.92,14.70,7.03,25.00
956,40.00,4.31,0.00,1.36,4.70,-8.42,6.24,0.00,81,1.94,22.00,0.00,1126,0.25,135,13.84,14.81,6.25,25.00
1275,40.80,4.31,0.00,1.36,4.70,-8.42,6.24,0.00,81,1.90,22.00,0.00,1098,0.26,135,14.00,14.93,5.47,25.00
1593,43.43,4.71,0.00,1.38,4.94,-8.27,6.38,0.00,81,1.87,22.50,0.00,1078,0.28,135,13.84,15.04,4.69,25.00
1911,43.62,4.71,0.00,1.38,5.12,-7.98,6.67,0.00,81,1.80,22.50,0.00,1060,0.28,135,13.92,15.27,3.91,25.00
2230,45.84,5.10,0.00,1.44,5.54,-7.69,6.96,0.00,81,1.74,21.50,0.00,1009,0.33,136,14.08,15.50,3.91,25.00
2549,47.36,5.10,0.00,1.46,5.67,-7.25,7.40,0.00,81,1.66,23.00,0.00,970,0.36,136,14.00,15.85,3.12,25.00
2868,49.20,5.10,0.00,1.44,5.89,-6.82,7.84,0.00,81,1.78,23.00,0.00,930,0.37,136,13.92,16.31,4.69,25.00
3186,44.32,5.49,0.00,1.46,5.92,-6.53,8.27,0.00,81,1.81,20.50,0.00,972,0.37,136,14.00,16.65,6.25,25.00
3505,46.71,5.88,0.00,1.48,6.18,-6.38,8.27,0.00,81,1.89,19.50,0.00,985,0.38,136,14.00,16.54,7.81,25.00
3824,44.92,5.88,0.00,1.48,6.29,-6.38,8.42,0.00,81,1.93,16.50,0.00,990,0.38,136,14.08,16.54,8.59,25.00
4142,47.70,5.88,0.00,1.52,6.57,-6.38,8.27,0.00,81,2.14,17.00,0.00,1005,0.40,136,14.08,16.31,9.38,25.00
4461,46.74,6.27,0.00,1.52,6.64,-6.38,8.27,0.00,81,2.23,16.00,0.00,1046,0.38,136,14.00,16.19,10.16,25.00
4780,47.97,6.27,0.00,1.52,6.93,-6.53,8.27,0.00,81,2.27,13.50,0.00,1063,0.38,136,14.00,15.85,10.94,25.00
5099,45.53,6.27,0.00,1.54,7.01,-6.67,8.13,0.00,81,2.12,11.00,0.00,1104,0.38,136,14.00,15.73,11.72,25.00
5417,45.47,6.27,0.00,1.54,6.97,-6.82,7.98,0.00,81,2.19,11.00,0.00,1142,0.37,136,14.00,15.50,11.72,25.00
5736,47.81,6.27,0.00,1.54,7.12,-6.96,7.84,0.00,81,2.22,11.00,0.00,1156,0.36,136,14.08,15.16,12.50,25.00
6054,48.14,6.27,0.00,1.54,7.15,-6.96,7.69,0.00,81,2.25,12.00,0.00,1174,0.36,136,13.92,15.16,12.50,25.00
6373,47.83,6.27,0.00,1.54,7.15,-7.11,7.55,0.00,81,2.33,12.50,0.00,1209,0.35,136,14.00,15.16,14.84,25.00
6693,46.64,6.27,0.00,1.54,7.04,-7.25,7.40,0.00,81,2.37,12.00,0.00,1249,0.34,136,14.00,15.16,14.84,25.00
7010,46.77,6.27,0.00,1.56,7.30,-7.55,7.25,0.00,81,2.40,12.50,0.00,1240,0.35,136,14.08,15.04,14.84,25.00
7330,49.00,6.27,0.00,1.54,7.12,-7.69,6.96,0.00,81,2.44,11.00,0.00,1272,0.33,136,14.00,15.04,14.84,25.00
7648,46.52,6.27,0.00,1.54,6.90,-7.84,6.82,0.00,81,2.52,12.00,0.00,1327,0.32,136,14.08,14.93,14.84,25.00
7967,47.74,5.88,0.00,1.54,7.01,-7.98,6.67,0.00,81,2.54,11.50,0.00,1331,0.32,136,13.92,14.70,14.84,25.00
8286,45.44,5.88,0.00,1.50,6.64,-8.13,6.53,0.00,81,2.57,12.50,0.00,1336,0.30,136,14.08,14.70,14.84,25.00
8605,45.13,5.49,0.00,1.48,6.35,-8.27,6.38,0.00,81,2.33,15.00,0.00,1346,0.28,136,14.00,14.47,14.84,24.22
8924,45.14,5.49,0.00,1.50,6.39,-8.56,6.24,0.00,81,2.32,15.50,0.00,1343,0.29,136,14.08,14.47,14.84,24.22
9242,44.19,5.10,0.00,1.46,6.08,-8.56,6.09,0.00,81,2.28,16.00,0.00,1355,0.27,138,14.08,14.47,14.84,23.44
9562,44.63,5.10,0.00,1.46,6.02,-8.71,5.95,0.00,81,2.26,16.00,0.00,1344,0.27,138,14.00,14.47,14.84,23.44
9881,43.86,5.10,0.00,1.44,5.60,-8.71,5.95,0.00,81,2.24,17.00,0.00,1336,0.25,138,14.00,14.47,14.84,22.66
10199,44.34,4.71,0.00,1.44,5.57,-8.85,5.80,0.00,81,2.22,17.50,0.00,1309,0.25,138,14.08,14.59,14.84,22.66
10517,43.82,4.71,0.00,1.42,5.41,-8.85,5.80,0.00,81,2.21,18.50,0.00,1292,0.25,138,14.00,14.59,14.06,22.66
10836,41.85,4.31,0.00,1.40,5.19,-9.00,5.80,0.00,81,2.17,19.50,0.00,1263,0.25,138,13.92,14.59,12.50,22.66
11155,44.15,4.31,0.00,1.40,5.15,-9.00,5.66,0.00,81,2.14,19.50,0.00,1253,0.24,138,14.08,14.70,10.94,22.66
11473,43.02,4.31,0.00,1.40,4.97,-9.00,5.66,0.00,81,2.07,20.50,0.00,1232,0.25,138,14.00,14.70,9.38,22.66
11792,40.64,4.31,0.00,1.38,4.82,-8.85,5.80,0.00,81,2.04,21.00,0.00,1194,0.24,138,14.00,14.70,7.81,22.66
12111,41.08,3.92,0.00,1.36,4.73,-8.85,5.80,0.00,81,2.01,21.50,0.00,1171,0.24,138,14.08,14.81,7.03,23.44
12429,39.91,3.92,0.00,1.36,4.56,-8.71,5.95,0.00,81,1.96,20.50,0.00,1149,0.24,138,14.08,14.81,6.25,24.22
12748,39.90,3.92,0.00,1.36,4.56,-8.71,6.09,0.00,81,1.90,21.50,0.00,1111,0.25,138,14.08,14.93,5.47,24.22
13067,39.64,3.92,0.00,1.34,4.45,-8.56,6.09,0.00,81,1.87,21.00,0.00,1087,0.25,138,14.08,15.04,4.69,25.00
13385,40.97,4.31,0.00,1.36,4.50,-8.42,6.24,0.00,81,1.73,23.00,0.00,1016,0.26,138,14.00,15.04,3.91,25.00
13705,45.62,4.71,0.00,1.38,5.03,-7.84,6.67,0.00,81,1.65,23.00,0.00,966,0.32,138,13.92,15.27,3.91,25.00
14023,47.32,4.71,0.00,1.42,5.44,-7.25,7.40,0.00,81,1.78,23.00,0.00,910,0.36,138,13.92,15.73,3.12,25.00
14342,44.58,5.10,0.00,1.40,5.31,-6.82,7.84,0.00,81,1.77,23.00,0.00,920,0.35,138,14.00,16.31,3.12,25.00
14660,45.52,5.10,0.00,1.44,5.60,-6.53,8.13,0.00,81,1.72,23.00,0.00,920,0.37,138,14.08,16.65,0.78,25.00
14979,46.47,5.10,0.00,1.44,5.60,-6.38,8.27,0.00,81,1.68,23.00,0.00,873,0.39,140,14.00,16.77,1.56,25.00
15298,46.02,5.49,0.00,1.46,5.89,-5.95,8.71,0.00,79,1.71,23.00,0.00,866,0.41,140,14.08,17.11,3.12,25.00
15616,45.06,5.88,0.00,1.50,6.36,-5.80,8.85,0.00,79,1.94,21.00,0.00,911,0.42,140,14.00,17.23,4.69,25.00
15935,44.19,5.88,0.00,1.48,6.05,-5.80,8.85,0.00,79,2.01,15.50,0.00,942,0.38,140,14.00,17.11,6.25,25.00
16255,45.46,5.88,0.00,1.52,6.61,-5.80,8.85,0.00,79,2.02,16.00,0.00,946,0.41,140,14.00,16.77,7.81,25.00
16573,46.52,6.27,0.00,1.50,6.54,-5.80,8.85,0.00,79,2.04,17.00,0.00,954,0.42,140,14.00,16.42,8.59,25.00
16892,45.65,6.27,0.00,1.54,6.90,-5.95,8.85,0.00,79,2.18,11.00,0.00,1011,0.41,140,14.00,16.19,9.38,25.00
17210,45.08,6.27,0.00,1.52,6.97,-6.24,8.56,0.00,79,2.24,11.00,0.00,1052,0.39,140,14.08,16.08,10.16,25.00
17529,46.61,6.67,0.00,1.54,6.94,-6.38,8.27,0.00,79,2.34,11.50,0.00,1095,0.39,140,14.08,15.85,10.94,25.00
17848,46.07,6.27,0.00,1.54,7.01,-6.38,8.27,0.00,79,2.37,12.00,0.00,1103,0.38,140,14.08,15.50,11.72,25.00
18167,44.52,6.67,0.00,1.52,6.86,-6.53,8.13,0.00,79,2.22,11.50,0.00,1132,0.37,140,14.08,15.39,12.50,25.00
18486,45.78,6.67,0.00,1.54,7.04,-6.82,7.84,0.00,79,2.26,11.00,0.00,1178,0.36,140,14.00,15.16,12.50,25.00
18804,45.85,6.67,0.00,1.54,7.15,-6.96,7.84,0.00,79,2.29,11.50,0.00,1212,0.36,140,14.08,15.04,13.28,25.00
19123,45.77,6.27,0.00,1.54,7.19,-7.11,7.55,0.00,79,2.38,11.00,0.00,1226,0.35,140,14.08,15.04,14.84,25.00
19443,47.58,6.27,0.00,1.54,7.08,-7.40,7.25,0.00,79,2.41,12.50,0.00,1257,0.34,140,14.00,15.04,14.84,25.00
