Time (msec),Volumetric Efficiency 2.5L (Calculated) (%),Throttle Opening Angle (%),Primary Wastegate Duty Cycle (%),Mass Airflow Sensor Voltage (V),Mass Airflow (g/s),Manifold Relative Pressure (psi),Manifold Absolute Pressure (psi),Knock Correction Advance (degrees),Intake Air Temperature (F),Injector Duty Cycle (%),Ignition Total Timing (degrees),Feedback Knock Correction (4-byte)* (degrees),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Coolant Temperature (F),Battery Voltage (V),A/F Sensor #1 (AFR),A/F Learning #1 (%),A/F Correction #1 (%)
19761,48.32,6.27,0.00,1.56,7.33,-7.55,7.11,0.00,79,2.44,12.00,0.00,1286,0.34,140,14.08,14.93,14.84,25.00
20079,45.76,5.88,0.00,1.54,6.94,-7.84,6.82,0.00,79,2.50,11.00,0.00,1308,0.32,140,14.08,14.93,14.84,25.00
20397,44.82,5.88,0.00,1.50,6.64,-7.98,6.67,0.00,79,2.52,13.00,0.00,1329,0.30,140,14.08,14.81,14.84,25.00
20717,46.07,5.49,0.00,1.50,6.64,-8.27,6.38,0.00,79,2.55,12.50,0.00,1338,0.29,142,13.92,14.59,14.84,25.00
21036,44.63,5.49,0.00,1.48,6.21,-8.42,6.38,0.00,79,2.25,14.50,0.00,1342,0.28,142,13.92,14.47,14.84,24.22
21354,45.23,5.49,0.00,1.48,6.21,-8.42,6.24,0.00,79,2.25,15.50,0.00,1328,0.28,142,14.00,14.36,14.84,23.44
21673,44.89,5.10,0.00,1.46,6.02,-8.56,6.09,0.00,79,2.24,16.00,0.00,1331,0.27,142,14.00,14.59,14.84,23.44
21991,45.49,5.10,0.00,1.46,5.99,-8.56,6.09,0.00,79,2.21,17.00,0.00,1303,0.27,142,13.92,14.59,14.84,23.44
22310,44.08,5.10,0.00,1.44,5.73,-8.71,5.95,0.00,79,2.22,17.00,0.00,1316,0.26,142,13.92,14.59,14.84,23.44
22629,42.88,4.71,0.00,1.42,5.44,-8.85,5.95,0.00,79,2.20,17.00,0.00,1303,0.25,142,13.92,14.70,14.84,23.44
22948,42.48,4.71,0.00,1.40,5.22,-8.85,5.80,0.00,79,2.18,19.50,0.00,1280,0.25,142,14.08,14.59,12.50,23.44
23266,41.06,4.31,0.00,1.40,5.09,-8.85,5.80,0.00,79,2.13,20.00,0.00,1244,0.25,142,14.00,14.59,10.94,23.44
23585,42.90,4.31,0.00,1.40,5.15,-8.85,5.80,0.00,79,2.10,19.00,0.00,1234,0.24,142,13.84,14.70,9.38,23.44
23903,42.24,4.31,0.00,1.38,4.85,-8.85,5.80,0.00,79,2.07,21.00,0.00,1202,0.24,142,14.00,14.70,8.59,23.44
24222,40.89,4.31,0.00,1.38,4.76,-8.71,5.95,0.00,79,2.04,21.00,0.00,1194,0.24,142,14.08,14.81,7.03,24.22
24540,38.91,3.92,0.00,1.34,4.48,-8.71,5.95,0.00,79,1.97,21.00,0.00,1174,0.23,142,14.00,14.81,6.25,25.00
24859,38.55,3.92,0.00,1.34,4.34,-8.71,5.95,0.00,79,1.91,21.50,0.00,1141,0.23,142,14.08,14.93,5.47,25.00
25177,39.01,3.92,0.00,1.34,4.34,-8.56,6.09,0.00,79,1.87,23.00,0.00,1108,0.24,142,14.00,14.93,4.69,25.00
25496,38.22,3.92,0.00,1.32,4.18,-8.56,6.09,0.00,79,1.86,22.00,0.00,1088,0.23,142,14.00,15.04,3.91,25.00
25815,39.41,3.92,0.00,1.32,4.18,-8.42,6.24,0.00,79,1.77,23.00,0.00,1037,0.24,144,14.00,15.16,3.91,25.00
26133,41.80,3.92,0.00,1.34,4.48,-8.27,6.38,0.00,79,1.70,23.00,0.00,998,0.27,144,14.00,15.39,3.12,25.00
26452,42.19,4.31,0.00,1.36,4.64,-7.84,6.82,0.00,79,1.60,23.00,0.00,975,0.30,144,13.92,15.62,3.12,25.00
26771,46.00,4.71,0.00,1.40,5.12,-7.25,7.40,0.00,79,1.53,23.00,0.00,895,0.34,144,13.92,15.96,0.78,25.00
27089,46.19,4.71,0.00,1.40,5.15,-6.53,7.98,0.00,79,1.60,23.00,0.00,831,0.37,144,14.00,16.54,0.78,25.00
27408,44.91,5.10,0.00,1.42,5.19,-5.95,8.71,0.00,79,1.55,23.00,0.00,789,0.39,144,14.00,17.00,0.78,25.00
27727,44.91,5.10,0.00,1.44,5.47,-5.22,9.29,0.00,79,1.48,23.00,0.00,753,0.44,144,14.00,17.34,0.78,25.00
28045,44.49,5.10,0.00,1.42,5.44,-4.93,9.58,0.00,79,1.61,21.50,0.00,755,0.43,144,14.00,17.57,0.78,25.00
28364,43.59,5.49,0.00,1.44,5.70,-4.79,9.87,0.00,79,1.67,19.00,0.00,783,0.44,144,14.00,17.80,0.78,25.00
28682,43.04,5.88,0.00,1.46,5.67,-4.79,9.87,0.00,79,1.69,19.00,0.00,790,0.46,144,13.92,17.69,0.78,25.00
29000,45.13,5.88,0.00,1.48,5.96,-4.64,10.01,0.00,79,1.65,17.00,0.00,802,0.46,144,14.00,18.15,3.12,25.00
29319,45.47,6.27,0.00,1.50,6.54,-4.64,10.01,0.00,79,1.75,16.50,0.00,822,0.47,144,14.00,17.57,4.69,25.00
29639,47.04,6.27,0.00,1.48,6.26,-4.93,9.72,0.00,79,1.79,12.00,0.00,839,0.46,144,14.00,17.34,6.25,25.00
29957,45.43,6.27,0.00,1.50,6.57,-4.93,9.87,0.00,79,1.91,12.50,0.00,893,0.44,144,14.00,16.88,7.81,25.00
30276,43.95,6.67,0.00,1.54,7.01,-5.08,9.58,0.00,79,2.01,11.00,0.00,943,0.44,144,14.08,16.65,8.59,25.00
30594,44.16,6.67,0.00,1.52,6.86,-5.66,9.00,0.00,79,2.30,11.00,0.00,1048,0.39,144,14.00,16.31,9.38,25.00
30914,44.14,6.67,0.00,1.54,7.04,-6.24,8.42,0.00,79,2.22,11.00,0.00,1136,0.37,144,14.00,15.73,10.16,25.00
31232,43.50,6.67,0.00,1.54,7.12,-6.67,7.98,0.00,79,2.36,11.00,0.00,1244,0.34,144,14.00,15.27,10.94,25.00
31551,46.62,6.67,0.00,1.56,7.26,-7.11,7.55,0.00,79,2.37,11.00,0.00,1225,0.36,144,14.00,14.93,11.72,25.00
31869,48.39,6.27,0.00,1.54,7.30,-7.40,7.40,0.00,79,2.39,11.00,0.00,1250,0.35,144,14.08,15.04,11.72,25.00
32188,45.76,6.27,0.00,1.54,7.12,-7.55,7.11,0.00,79,2.41,11.00,0.00,1285,0.34,144,14.08,15.04,12.50,25.00
32507,46.84,5.88,0.00,1.54,7.04,-7.69,6.96,0.00,79,2.47,13.00,0.00,1272,0.33,144,14.00,14.93,12.50,24.22
32825,45.70,5.88,0.00,1.50,6.64,-7.98,6.67,0.00,79,2.54,12.50,0.00,1313,0.30,144,14.00,14.81,14.84,25.00
33145,45.72,5.88,0.00,1.52,6.61,-8.13,6.53,0.00,79,2.54,13.50,0.00,1313,0.30,145,13.84,14.70,14.84,25.00
33463,44.58,5.49,0.00,1.48,6.35,-8.27,6.38,0.00,79,2.29,15.00,0.00,1328,0.29,145,14.00,14.59,14.84,24.22
33782,44.64,5.10,0.00,1.48,6.21,-8.42,6.24,0.00,79,2.27,16.00,0.00,1327,0.29,145,14.00,14.59,14.84,24.22
34101,43.89,5.10,0.00,1.46,5.96,-8.56,6.09,0.00,79,2.29,16.50,0.00,1340,0.27,145,14.00,14.47,14.84,23.44
34420,42.87,5.10,0.00,1.44,5.80,-8.71,6.09,0.00,79,2.26,17.00,0.00,1324,0.27,145,13.92,14.47,14.84,23.44
34738,42.45,4.71,0.00,1.42,5.51,-8.71,5.95,0.00,79,2.24,17.00,0.00,1315,0.25,145,14.00,14.47,14.84,22.66
35056,42.00,4.71,0.00,1.42,5.34,-8.85,5.80,0.00,79,2.22,18.00,0.00,1292,0.25,145,14.08,14.47,13.28,22.66
35375,41.99,4.31,0.00,1.40,5.12,-8.85,5.80,0.00,79,2.19,19.50,0.00,1271,0.24,145,13.92,14.47,10.94,21.88
35694,46.40,5.10,0.00,1.46,5.86,-8.71,5.95,0.00,79,2.14,19.00,0.00,1254,0.28,145,14.00,14.59,10.16,21.88
36013,42.98,4.71,0.00,1.42,5.44,-8.71,6.09,0.00,79,2.14,17.00,0.00,1264,0.26,145,13.92,14.70,9.38,22.66
36331,42.87,4.71,0.00,1.40,5.28,-8.56,5.95,0.00,79,2.13,20.50,0.00,1230,0.26,145,14.00,14.93,8.59,23.44
36650,42.58,4.31,0.00,1.40,5.15,-8.71,5.95,0.00,79,2.07,19.50,0.00,1228,0.26,145,14.00,14.93,7.03,24.22
36969,41.71,4.31,0.00,1.40,5.03,-8.71,5.95,0.00,79,2.05,20.00,0.00,1189,0.25,145,14.16,14.93,6.25,25.00
37288,40.08,3.92,0.00,1.36,4.64,-8.71,5.95,0.00,79,1.99,20.00,0.00,1168,0.24,145,14.00,14.93,5.47,25.00
37607,39.13,3.92,0.00,1.34,4.48,-8.71,5.95,0.00,79,1.94,19.50,0.00,1154,0.23,145,13.92,15.04,4.69,25.00
37926,39.35,3.92,0.00,1.34,4.48,-8.56,6.09,0.00,79,1.90,20.50,0.00,1127,0.24,147,14.08,15.04,3.91,25.00
38244,39.16,3.92,0.00,1.32,4.29,-8.56,6.09,0.00,79,1.85,22.00,0.00,1086,0.23,147,14.00,15.04,3.91,25.00
38563,37.88,3.92,0.00,1.32,4.18,-8.56,6.24,0.00,79,1.56,23.00,0.00,1034,0.24,147,14.00,15.16,3.12,25.00
38881,39.65,3.92,0.00,1.32,4.15,-8.27,6.24,0.00,79,1.68,23.00,0.00,986,0.26,147,14.00,15.27,3.12,25.00
39200,42.88,4.31,0.00,1.34,4.50,-7.84,6.67,0.00,79,1.60,23.00,0.00,947,0.28,147,14.08,15.50,0.78,25.00
39519,44.84,4.31,0.00,1.38,4.85,-7.25,7.25,0.00,79,1.53,23.00,0.00,898,0.33,147,14.08,15.85,0.78,25.00
39837,46.78,4.71,0.00,1.40,5.13,-6.67,7.84,0.00,79,1.49,23.00,0.00,775,0.37,147,13.92,16.31,0.78,25.00
40157,44.47,5.10,0.00,1.42,5.31,-5.66,9.00,0.00,79,1.45,22.00,0.00,767,0.42,147,14.00,16.88,0.78,25.00
40475,45.04,5.10,0.00,1.40,5.13,-5.51,9.14,0.00,79,1.32,22.00,0.00,722,0.43,147,14.00,17.34,0.78,25.00
40793,45.00,5.10,0.00,1.42,5.41,-4.93,9.72,0.00,79,1.33,21.50,0.00,729,0.45,147,13.92,17.46,0.78,25.00
41112,42.99,5.10,0.00,1.44,5.38,-4.64,10.01,0.00,79,1.61,18.50,0.00,754,0.44,147,13.92,17.69,0.78,25.00
41431,44.45,5.88,0.00,1.46,5.60,-4.64,10.01,0.00,79,1.63,17.50,0.00,764,0.46,147,13.92,17.80,0.78,25.00
41750,42.27,5.49,0.00,1.46,5.60,-4.64,10.01,0.00,79,1.68,15.00,0.00,786,0.44,147,14.00,17.80,0.78,25.00
42069,42.90,5.88,0.00,1.48,5.89,-4.50,10.16,0.00,79,1.63,15.00,0.00,807,0.44,147,14.00,17.57,0.78,25.00
42388,43.95,5.88,0.00,1.48,6.29,-4.50,10.16,0.00,79,1.69,15.50,0.00,792,0.47,147,14.00,17.46,3.12,25.00
42706,45.94,6.27,0.00,1.50,6.33,-4.64,10.01,0.00,79,1.76,12.50,0.00,819,0.46,147,14.00,17.46,4.69,25.00
43025,45.88,6.27,0.00,1.48,6.33,-4.64,10.01,0.00,79,1.87,14.50,0.00,854,0.43,147,13.92,17.23,6.25,25.00
43344,44.89,6.67,0.00,1.54,6.83,-4.93,9.87,0.00,79,1.96,11.00,0.00,912,0.45,147,14.00,16.88,7.81,25.00
43662,47.06,6.67,0.00,1.56,7.08,-5.08,9.58,0.00,79,2.07,11.00,0.00,943,0.45,149,14.00,16.54,8.59,25.00
43982,42.57,6.67,0.00,1.54,7.04,-5.80,9.00,0.00,79,2.29,11.00,0.00,1072,0.39,149,14.00,15.96,9.38,25.00
44300,42.92,6.67,0.00,1.54,7.23,-6.24,8.42,0.00,79,2.24,11.00,0.00,1164,0.37,149,14.00,15.50,10.16,25.00
44620,43.61,6.67,0.00,1.56,7.33,-6.96,7.84,0.00,79,2.43,11.00,0.00,1263,0.35,149,14.08,15.16,10.94,25.00
44938,45.55,6.27,0.00,1.54,7.08,-7.40,7.40,0.00,79,2.48,11.00,0.00,1274,0.33,149,13.92,15.04,11.72,25.00
45257,46.02,6.27,0.00,1.54,7.04,-7.55,7.11,0.00,79,2.49,11.00,0.00,1283,0.32,149,14.00,14.93,11.72,25.00
45576,47.09,5.88,0.00,1.50,6.75,-7.84,6.82,0.00,79,2.51,11.00,0.00,1307,0.31,149,14.00,14.81,12.50,25.00
45894,45.70,5.88,0.00,1.50,6.68,-7.98,6.67,0.00,79,2.52,11.50,0.00,1314,0.30,149,14.08,14.70,12.50,25.00
46213,44.52,5.49,0.00,1.50,6.50,-8.13,6.53,0.00,79,2.56,12.00,0.00,1331,0.29,149,14.00,14.59,14.84,24.22
46531,43.28,5.49,0.00,1.48,6.18,-8.27,6.38,0.00,79,2.30,14.00,0.00,1338,0.28,149,13.92,14.59,14.84,24.22
46850,43.88,5.10,0.00,1.46,6.08,-8.42,6.24,0.00,79,2.32,15.50,0.00,1345,0.27,149,13.84,14.47,14.84,23.44
47169,43.71,5.10,0.00,1.46,6.05,-8.56,6.09,0.00,79,2.30,16.50,0.00,1347,0.27,149,14.00,14.47,14.84,22.66
47488,42.13,5.10,0.00,1.44,5.67,-8.71,5.95,0.00,79,2.28,16.50,0.00,1357,0.25,149,13.92,14.36,14.84,21.88
47807,41.89,4.71,0.00,1.44,5.57,-8.85,5.95,0.00,79,2.27,16.50,0.00,1336,0.25,149,13.92,14.47,14.06,21.88
48125,41.23,4.71,0.00,1.40,5.12,-8.85,5.80,0.00,79,2.23,17.50,0.00,1323,0.24,149,14.00,14.36,12.50,21.09
48444,42.35,4.31,0.00,1.42,5.28,-9.00,5.80,0.00,79,2.18,18.00,0.00,1290,0.24,149,13.92,14.47,10.16,20.31
48763,40.53,4.31,0.00,1.38,4.88,-9.00,5.66,0.00,79,2.18,20.50,0.00,1275,0.23,149,14.00,14.59,9.38,20.31
49082,39.87,4.31,0.00,1.36,4.70,-9.00,5.66,0.00,79,2.10,21.50,0.00,1223,0.23,149,14.00,14.70,7.81,20.31
49401,39.67,3.92,0.00,1.36,4.67,-9.00,5.80,0.00,79,1.79,21.00,0.00,1202,0.23,149,14.00,14.81,7.03,21.09
49720,39.73,3.92,0.00,1.34,4.50,-8.85,5.80,0.00,79,1.74,21.00,0.00,1174,0.23,149,14.08,14.81,6.25,21.88
50038,39.33,3.92,0.00,1.32,4.26,-8.85,5.80,0.00,79,1.70,23.00,0.00,1138,0.22,149,14.00,14.93,5.47,22.66
50356,37.78,3.92,0.00,1.30,4.07,-8.71,5.95,0.00,79,1.65,23.00,0.00,1105,0.22,151,14.00,14.93,4.69,23.44
50675,39.37,3.53,0.00,1.30,4.02,-8.71,5.95,0.00,79,1.55,23.00,0.00,1036,0.23,151,14.00,15.04,3.91,24.22
50994,37.57,3.53,0.00,1.30,3.99,-8.42,6.24,0.00,79,1.45,23.00,0.00,973,0.24,151,14.08,15.16,3.91,25.00
51312,39.20,3.53,0.00,1.30,3.93,-8.13,6.53,0.00,79,1.59,23.00,0.00,933,0.25,151,14.08,15.27,3.12,25.00
51631,43.07,4.31,0.00,1.36,4.48,-7.69,6.96,0.00,79,1.49,23.00,0.00,897,0.32,151,14.08,15.62,3.12,25.00
51950,45.37,4.31,0.00,1.38,4.67,-6.96,7.55,0.00,79,1.48,23.00,0.00,768,0.36,151,14.08,16.08,0.78,25.00
52268,46.23,4.31,0.00,1.38,4.79,-6.24,8.27,0.00,79,1.48,23.00,0.00,758,0.38,151,14.00,16.54,0.78,25.00
52587,49.04,4.71,0.00,1.40,5.19,-5.66,8.85,0.00,79,1.45,23.00,0.00,679,0.44,151,14.00,17.11,0.78,25.00
52906,40.69,4.71,0.00,1.38,5.09,-4.93,9.72,0.00,79,1.45,20.00,0.00,753,0.40,151,14.00,17.69,0.78,25.00
53223,44.78,5.10,0.00,1.44,5.19,-4.64,10.01,0.00,79,1.55,22.00,0.00,729,0.45,151,14.00,17.69,0.78,25.00
53543,39.15,5.49,0.00,1.40,5.06,-4.35,10.16,0.00,79,1.61,22.00,0.00,757,0.42,151,14.00,17.57,0.78,25.00
53862,44.40,5.49,0.00,1.42,5.32,-4.35,10.16,0.00,79,1.57,21.00,0.00,723,0.44,151,13.92,18.60,0.78,25.00
54180,42.28,5.49,0.00,1.44,5.31,-4.35,10.30,0.00,79,1.61,17.00,0.00,757,0.43,151,13.84,18.03,0.78,25.00
54499,40.67,5.88,0.00,1.44,5.47,-4.50,10.30,0.00,79,1.66,14.00,0.00,778,0.43,151,13.92,17.69,0.78,25.00
54818,45.60,5.88,0.00,1.46,5.92,-4.35,10.30,0.00,79,1.61,16.00,0.00,753,0.48,151,14.00,17.69,2.34,25.00
55137,42.42,5.88,0.00,1.46,5.86,-4.35,10.30,0.00,79,1.71,13.50,0.00,806,0.44,151,14.00,17.57,4.69,25.00
55455,44.37,6.27,0.00,1.50,6.39,-4.35,10.30,0.00,79,1.83,13.00,0.00,859,0.46,151,13.92,17.34,6.25,25.00
55774,46.11,6.27,0.00,1.50,6.68,-4.64,10.01,0.00,79,1.81,12.00,0.00,850,0.46,151,14.00,17.00,7.03,25.00
56093,43.26,6.27,0.00,1.50,6.50,-5.08,9.72,0.00,79,2.06,11.00,0.00,968,0.41,151,14.00,16.65,8.59,25.00
56411,43.67,6.67,0.00,1.54,6.97,-5.66,9.00,0.00,79,2.23,11.00,0.00,1033,0.40,151,14.00,16.08,9.38,25.00
56730,41.83,6.67,0.00,1.54,6.97,-6.24,8.56,0.00,79,2.24,11.00,0.00,1150,0.35,151,13.84,15.85,10.16,25.00
