Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
0,0.00,12.50,12.75,13.68,187,0.21,910,0.00,19.50,1.55,102,0.00,6.24,-8.42,3.23,1.24,0.00,2.75,35.49
318,0.00,12.50,12.75,13.84,187,0.21,904,0.00,19.00,1.54,102,0.00,6.24,-8.42,3.23,1.22,0.00,2.75,35.50
635,0.00,12.50,12.86,13.76,187,0.23,902,0.00,18.50,1.54,102,0.00,6.24,-8.42,3.16,1.24,0.00,2.75,35.04
953,0.00,12.50,12.98,13.60,185,0.20,922,0.00,17.00,1.57,102,0.00,6.24,-8.42,3.20,1.24,0.00,2.75,34.73
1274,0.00,12.50,13.09,13.76,185,0.21,906,0.00,17.50,1.55,102,0.00,6.09,-8.56,3.05,1.20,0.00,2.75,35.61
1592,-2.34,12.50,13.09,13.76,185,0.20,916,0.00,17.00,1.55,102,0.00,6.09,-8.56,3.07,1.22,0.00,2.75,34.67
1912,-5.47,12.50,13.21,13.76,185,0.21,894,0.00,17.50,1.53,100,0.00,6.24,-8.42,3.14,1.20,0.00,2.75,32.66
2230,-7.81,12.50,13.32,13.68,185,0.20,888,0.00,18.00,1.52,100,0.00,6.09,-8.56,3.09,1.20,0.00,2.35,34.87
2549,-10.16,12.50,13.55,13.68,183,0.21,890,0.00,17.50,1.52,100,0.00,6.24,-8.42,3.14,1.22,0.00,2.35,35.18
2868,-11.72,12.50,13.67,13.76,183,0.22,870,0.00,18.50,1.48,100,0.00,6.24,-8.42,3.12,1.20,0.00,2.75,35.92
3187,-12.50,12.50,13.90,13.68,183,0.21,872,0.00,17.50,1.49,100,0.00,6.24,-8.42,3.12,1.22,0.00,2.75,34.82
3505,-14.06,12.50,14.01,13.76,183,0.22,871,0.00,17.50,1.49,100,0.00,6.38,-8.27,3.23,1.22,0.00,2.75,35.81
3824,-14.06,12.50,14.24,13.76,183,0.23,856,0.00,18.50,1.46,100,0.00,6.38,-8.27,3.29,1.24,0.00,2.75,37.46
4143,-14.84,12.50,14.36,13.76,183,0.24,842,0.00,19.00,1.44,100,0.00,6.53,-8.13,3.23,1.24,0.00,2.75,36.52
4462,-14.84,12.50,14.47,13.76,183,0.25,851,0.00,17.50,1.45,100,0.00,6.67,-7.98,3.63,1.26,0.00,3.14,38.22
4781,-14.84,12.50,14.59,13.68,183,0.26,882,0.00,15.50,1.50,100,0.00,6.67,-7.84,3.94,1.26,0.00,3.14,41.64
5100,-14.84,12.50,14.59,13.76,183,0.25,886,0.00,15.50,1.48,100,0.00,6.67,-7.98,3.57,1.24,0.00,3.14,38.26
5419,-15.62,12.50,14.47,13.68,183,0.24,894,0.00,15.50,1.53,100,0.00,6.67,-7.98,3.83,1.28,0.00,3.14,37.47
5738,-16.41,12.50,14.36,13.76,183,0.28,891,0.00,16.50,1.63,100,0.00,6.67,-7.98,4.02,1.26,0.00,3.14,43.60
6057,-17.19,12.50,14.24,13.68,183,0.26,916,0.00,15.00,1.56,99,0.00,6.67,-7.98,3.78,1.28,0.00,3.14,38.36
6375,-17.97,12.50,14.13,13.68,183,0.25,933,0.00,14.50,1.59,99,0.00,6.53,-8.13,4.10,1.26,0.00,3.14,41.71
6694,-19.53,12.50,14.13,13.76,183,0.25,911,0.00,16.50,1.55,99,0.00,6.53,-8.13,3.59,1.26,0.00,3.14,38.80
7012,-20.31,12.50,14.13,13.76,183,0.24,915,0.00,16.50,1.56,99,0.00,6.53,-8.13,3.94,1.26,0.00,3.14,38.67
7330,-21.09,12.50,14.24,13.76,183,0.27,886,0.00,18.00,1.51,99,0.00,6.53,-8.13,4.02,1.26,0.00,3.14,40.19
7649,-21.09,12.50,14.47,13.76,183,0.25,884,0.00,17.50,1.51,99,0.00,6.67,-7.98,3.67,1.26,0.00,3.14,38.65
7967,-21.09,12.50,14.59,13.76,183,0.26,898,0.00,17.00,1.53,99,0.00,6.67,-7.98,4.26,1.28,0.00,3.14,41.01
8285,-21.09,12.50,14.59,13.76,183,0.26,907,0.00,16.50,1.52,99,0.00,6.67,-7.98,4.18,1.26,0.00,3.14,43.48
8605,-21.09,12.50,14.59,13.76,183,0.25,895,0.00,17.00,1.53,99,0.00,6.67,-7.98,3.78,1.28,0.00,3.14,36.61
8924,-21.09,12.50,14.59,13.76,183,0.29,876,0.00,18.00,1.60,99,0.00,6.67,-7.98,4.26,1.26,0.00,3.14,44.87
9242,-21.88,12.50,14.59,13.68,183,0.29,890,0.00,17.00,1.52,99,0.00,6.67,-7.98,3.94,1.28,0.00,3.14,41.10
9560,-21.88,12.50,14.70,13.68,183,0.30,883,0.00,17.00,1.49,99,0.00,6.82,-7.84,4.34,1.30,0.00,3.14,45.14
9880,-21.88,12.50,14.70,13.68,183,0.30,872,0.00,17.50,1.49,99,0.00,6.82,-7.84,4.26,1.26,0.00,3.53,45.42
10199,-21.88,12.50,14.70,13.60,185,0.30,902,0.00,16.00,1.55,99,0.00,6.82,-7.84,4.26,1.28,0.00,3.53,42.76
10516,-21.88,12.50,14.59,13.76,185,0.29,921,0.00,15.00,1.57,99,0.00,6.82,-7.84,4.56,1.28,0.00,3.53,43.48
10836,-21.88,12.50,14.59,13.76,185,0.30,919,0.00,15.50,1.57,99,0.00,6.82,-7.84,4.26,1.26,0.00,3.14,45.20
