Time (msec),Volumetric Efficiency 2.5L (Calculated) (%),Throttle Opening Angle (%),Primary Wastegate Duty Cycle (%),Mass Airflow Sensor Voltage (V),Mass Airflow (g/s),Manifold Relative Pressure (psi),Manifold Absolute Pressure (psi),Knock Correction Advance (degrees),Intake Air Temperature (F),Injector Duty Cycle (%),Ignition Total Timing (degrees),Feedback Knock Correction (4-byte)* (degrees),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Coolant Temperature (F),Battery Voltage (V),A/F Sensor #1 (AFR),A/F Learning #1 (%),A/F Correction #1 (%)
10837,35.63,2.75,0.00,1.26,3.46,-7.98,6.67,0.00,86,1.57,16.50,0.00,918,0.23,185,13.76,14.70,14.84,12.50
11157,33.08,2.75,0.00,1.24,3.37,-7.98,6.67,0.00,86,1.57,17.00,0.00,910,0.22,185,13.76,14.70,14.84,12.50
11475,34.12,3.14,0.00,1.26,3.49,-7.98,6.67,0.00,86,1.57,16.00,0.00,907,0.23,185,13.76,14.70,14.84,12.50
11794,33.14,2.75,0.00,1.24,3.35,-7.98,6.67,0.00,86,1.57,17.00,0.00,917,0.22,185,13.84,14.70,14.84,12.50
12113,32.92,2.75,0.00,1.26,3.46,-7.98,6.67,0.00,86,1.56,17.00,0.00,911,0.22,185,13.84,14.70,14.84,12.50
12433,34.04,2.75,0.00,1.24,3.33,-7.98,6.67,0.00,86,1.56,17.50,0.00,916,0.22,185,13.84,14.70,14.84,12.50
12750,33.60,2.75,0.00,1.26,3.39,-7.98,6.67,0.00,86,1.54,17.00,0.00,925,0.23,185,13.68,14.70,14.84,12.50
13069,33.67,2.75,0.00,1.22,3.37,-7.98,6.67,0.00,86,1.57,16.00,0.00,920,0.22,185,13.84,14.70,14.84,12.50
13389,33.01,2.75,0.00,1.26,3.35,-7.98,6.67,0.00,86,1.57,17.00,0.00,919,0.22,185,13.84,14.70,14.84,12.50
13708,34.67,2.75,0.00,1.26,3.49,-7.98,6.67,0.00,86,1.54,17.00,0.00,895,0.23,185,13.76,14.70,14.84,12.50
14027,32.80,2.75,0.00,1.22,3.30,-7.98,6.67,0.00,84,1.56,17.50,0.00,912,0.22,185,13.84,14.70,14.84,12.50
14345,32.82,2.75,0.00,1.26,3.44,-7.98,6.67,0.00,84,1.55,17.00,0.00,910,0.22,185,13.76,14.70,14.84,12.50
14665,34.09,2.75,0.00,1.24,3.30,-7.98,6.67,0.00,84,1.54,17.50,0.00,908,0.22,185,13.84,14.70,14.84,13.28
14983,33.22,2.75,0.00,1.24,3.33,-7.98,6.67,0.00,84,1.57,17.00,0.00,919,0.22,185,13.84,14.70,14.84,13.28
15302,34.37,2.75,0.00,1.26,3.37,-7.98,6.67,0.00,84,1.53,17.00,0.00,888,0.23,185,13.84,14.70,14.84,13.28
15620,32.97,2.75,0.00,1.24,3.33,-7.98,6.67,0.00,84,1.59,16.50,0.00,916,0.22,185,13.76,14.70,14.84,13.28
15939,34.97,3.14,0.00,1.26,3.56,-7.98,6.67,0.00,84,1.54,17.00,0.00,900,0.23,185,13.76,14.70,14.84,13.28
16257,34.88,3.14,0.00,1.24,3.35,-7.98,6.67,0.00,84,1.54,17.50,0.00,905,0.22,185,13.76,14.70,14.84,13.28
16576,34.23,3.14,0.00,1.26,3.42,-7.98,6.67,0.00,84,1.53,17.00,0.00,918,0.23,185,13.68,14.70,14.84,13.28
16894,35.27,3.14,0.00,1.24,3.44,-7.98,6.67,0.00,84,1.56,15.50,0.00,914,0.23,187,13.84,14.70,14.84,13.28
17213,33.56,2.75,0.00,1.26,3.49,-7.98,6.67,0.00,84,1.59,17.00,0.00,930,0.23,187,13.84,14.70,14.84,13.28
17532,34.66,2.75,0.00,1.26,3.53,-7.98,6.67,0.00,84,1.58,15.50,0.00,916,0.23,187,13.76,14.59,14.84,13.28
17851,32.61,2.75,0.00,1.26,3.42,-7.98,6.67,0.00,84,1.60,16.00,0.00,930,0.22,187,13.84,14.59,14.84,13.28
18170,33.85,2.75,0.00,1.26,3.51,-8.13,6.67,0.00,84,1.58,16.00,0.00,914,0.23,187,13.76,14.59,14.84,12.50
18488,32.46,2.75,0.00,1.24,3.37,-7.98,6.67,0.00,84,1.61,17.00,0.00,934,0.22,187,13.76,14.59,14.84,12.50
18807,33.86,2.75,0.00,1.26,3.53,-7.98,6.67,0.00,84,1.58,16.50,0.00,927,0.23,187,13.76,14.59,14.84,12.50
19126,33.47,2.75,0.00,1.24,3.39,-8.13,6.53,0.00,84,1.60,17.00,0.00,935,0.22,187,13.76,14.59,14.84,12.50
19445,34.69,2.75,0.00,1.26,3.56,-8.13,6.53,0.00,84,1.58,16.50,0.00,926,0.22,187,13.76,14.59,14.84,11.72
19764,34.07,2.75,0.00,1.24,3.37,-7.98,6.67,0.00,84,1.57,18.00,0.00,921,0.22,187,13.84,14.59,14.84,11.72
20083,33.60,2.75,0.00,1.26,3.51,-7.98,6.67,0.00,84,1.54,17.50,0.00,922,0.23,187,13.84,14.59,14.84,11.72
20401,34.16,2.75,0.00,1.24,3.42,-7.98,6.67,0.00,84,1.57,17.50,0.00,918,0.22,187,13.84,14.59,14.84,11.72
20720,32.61,2.75,0.00,1.24,3.37,-8.13,6.67,0.00,84,1.57,16.00,0.00,945,0.22,187,13.76,14.70,14.84,11.72
21039,34.06,2.75,0.00,1.24,3.46,-8.13,6.67,0.00,84,1.59,16.00,0.00,931,0.22,187,13.76,14.70,14.84,11.72
21358,33.75,2.75,0.00,1.26,3.39,-8.13,6.53,0.00,84,1.61,16.50,0.00,943,0.22,187,13.76,14.70,14.84,11.72
21677,35.74,2.75,0.00,1.26,3.49,-8.13,6.53,0.00,84,1.58,16.50,0.00,926,0.23,187,13.76,14.70,14.84,11.72
21996,33.24,2.75,0.00,1.26,3.35,-8.13,6.53,0.00,84,1.61,17.00,0.00,942,0.22,187,13.76,14.70,14.84,11.72
22314,33.94,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.57,16.50,0.00,915,0.22,187,13.76,14.59,14.84,11.72
22633,31.90,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.61,17.00,0.00,927,0.21,187,13.84,14.59,14.84,11.72
22952,34.37,2.75,0.00,1.24,3.42,-8.13,6.53,0.00,84,1.55,17.00,0.00,896,0.22,187,13.76,14.59,14.84,11.72
23271,34.64,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.55,19.00,0.00,907,0.22,187,13.92,14.70,14.84,11.72
23590,32.67,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.56,17.00,0.00,931,0.22,187,13.84,14.70,14.84,11.72
23908,33.45,2.75,0.00,1.22,3.30,-8.13,6.53,0.00,84,1.56,17.00,0.00,922,0.21,187,13.76,14.70,14.84,11.72
24228,33.51,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.56,17.50,0.00,912,0.22,187,13.68,14.70,14.84,11.72
24546,34.12,2.75,0.00,1.24,3.33,-8.13,6.53,0.00,84,1.54,17.00,0.00,891,0.22,187,13.76,14.70,14.84,11.72
24864,32.84,2.75,0.00,1.22,3.21,-8.13,6.53,0.00,84,1.57,17.00,0.00,910,0.21,187,13.76,14.70,14.84,11.72
25184,33.60,2.75,0.00,1.26,3.40,-8.13,6.53,0.00,84,1.50,18.00,0.00,878,0.23,187,13.76,14.70,14.84,11.72
25503,34.33,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.54,18.00,0.00,900,0.21,187,13.68,14.70,14.84,12.50
25821,32.72,2.75,0.00,1.24,3.30,-7.98,6.67,0.00,84,1.56,17.00,0.00,915,0.22,187,13.92,14.81,14.84,12.50
26140,34.06,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.57,15.50,0.00,908,0.22,187,13.84,14.81,14.84,12.50
26459,33.48,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.57,16.50,0.00,906,0.22,187,13.76,14.81,14.84,13.28
26779,33.23,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.52,17.00,0.00,891,0.22,187,13.76,14.70,14.84,12.50
27097,35.02,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.53,18.00,0.00,894,0.22,187,13.84,14.70,14.84,12.50
27416,33.01,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.57,16.50,0.00,920,0.22,187,13.68,14.70,14.84,12.50
27735,35.00,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.53,16.50,0.00,898,0.23,187,13.84,14.70,14.84,12.50
28053,32.31,2.75,0.00,1.24,3.24,-8.13,6.67,0.00,84,1.58,17.00,0.00,909,0.22,187,13.76,14.70,14.84,12.50
28371,33.38,2.75,0.00,1.24,3.44,-8.13,6.67,0.00,84,1.52,17.50,0.00,891,0.23,187,13.84,14.70,14.84,12.50
28690,34.70,2.75,0.00,1.24,3.35,-7.98,6.67,0.00,84,1.50,19.00,0.00,878,0.22,187,13.76,14.70,14.84,12.50
29009,32.59,2.75,0.00,1.24,3.33,-7.98,6.67,0.00,84,1.56,17.00,0.00,916,0.22,187,13.76,14.70,14.84,13.28
29328,33.49,2.75,0.00,1.24,3.33,-8.13,6.67,0.00,84,1.58,15.00,0.00,916,0.22,187,13.76,14.70,14.84,13.28
29647,32.92,2.75,0.00,1.22,3.24,-8.13,6.53,0.00,84,1.56,16.50,0.00,902,0.22,187,13.84,14.70,14.84,13.28
29966,34.20,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.52,17.00,0.00,892,0.22,187,13.84,14.59,14.84,12.50
30284,34.55,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.56,17.00,0.00,913,0.22,187,13.84,14.70,14.84,12.50
30603,33.26,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.55,16.50,0.00,933,0.22,185,13.76,14.70,14.84,12.50
30921,34.39,2.75,0.00,1.22,3.37,-8.13,6.53,0.00,84,1.57,16.00,0.00,918,0.21,185,13.84,14.70,14.84,12.50
31240,33.04,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.59,16.50,0.00,934,0.22,185,13.76,14.70,14.84,12.50
31558,33.99,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.57,16.00,0.00,911,0.22,185,13.76,14.59,14.84,12.50
31878,32.60,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.59,16.00,0.00,925,0.22,185,13.76,14.59,14.84,12.50
32196,33.12,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.58,16.00,0.00,919,0.22,185,13.76,14.59,14.84,12.50
32514,34.14,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.55,18.00,0.00,910,0.22,185,13.84,14.59,14.84,12.50
32833,34.22,2.75,0.00,1.26,3.49,-8.13,6.53,0.00,84,1.52,17.50,0.00,912,0.23,185,13.84,14.59,14.84,12.50
33152,34.91,2.75,0.00,1.22,3.37,-8.13,6.53,0.00,84,1.54,18.00,0.00,905,0.22,185,13.68,14.59,14.84,12.50
33471,32.82,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.56,17.00,0.00,916,0.22,185,13.84,14.70,14.84,12.50
33789,34.43,2.75,0.00,1.24,3.37,-8.13,6.67,0.00,84,1.52,17.00,0.00,880,0.23,185,13.68,14.70,14.84,12.50
34108,33.07,2.75,0.00,1.22,3.30,-7.98,6.67,0.00,84,1.54,17.50,0.00,903,0.22,185,13.84,14.70,14.84,12.50
34427,32.56,2.75,0.00,1.26,3.42,-8.13,6.67,0.00,84,1.54,17.00,0.00,900,0.22,185,13.76,14.70,14.84,12.50
34746,35.11,2.75,0.00,1.24,3.42,-8.13,6.53,0.00,84,1.55,17.00,0.00,910,0.22,185,13.76,14.70,14.84,12.50
35065,33.20,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.59,16.50,0.00,934,0.22,185,13.68,14.59,14.84,12.50
35385,34.94,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.54,16.50,0.00,904,0.23,185,13.84,14.70,14.84,12.50
35703,33.23,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.59,17.00,0.00,916,0.22,185,13.76,14.59,14.84,11.72
36021,33.71,2.75,0.00,1.24,3.39,-8.13,6.53,0.00,84,1.57,16.00,0.00,910,0.22,185,13.84,14.70,14.84,11.72
36340,32.96,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.57,17.00,0.00,920,0.22,185,13.60,14.70,14.84,11.72
36658,33.46,2.75,0.00,1.26,3.46,-8.13,6.53,0.00,84,1.54,17.00,0.00,903,0.23,185,13.84,14.59,14.84,11.72
36976,34.33,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.56,18.00,0.00,912,0.21,185,13.76,14.59,14.84,11.72
37296,33.40,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.55,17.00,0.00,927,0.22,185,13.84,14.70,14.84,11.72
37614,34.83,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.55,17.00,0.00,907,0.22,185,13.84,14.59,14.84,11.72
37933,32.92,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.57,17.00,0.00,906,0.22,185,13.76,14.70,14.84,11.72
38252,34.29,2.75,0.00,1.24,3.42,-7.98,6.67,0.00,84,1.50,17.00,0.00,881,0.23,185,13.68,14.59,14.84,11.72
38570,32.41,2.75,0.00,1.22,3.17,-7.98,6.67,0.00,84,1.56,17.00,0.00,913,0.21,185,13.84,14.70,14.84,11.72
38889,33.12,2.75,0.00,1.26,3.39,-8.13,6.53,0.00,84,1.55,16.00,0.00,930,0.22,185,13.76,14.70,14.84,11.72
39208,34.20,2.75,0.00,1.22,3.33,-8.13,6.53,0.00,84,1.55,17.00,0.00,908,0.21,185,13.68,14.70,14.84,11.72
39527,33.23,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.58,16.50,0.00,928,0.22,185,13.76,14.70,14.84,11.72
39845,33.62,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.57,16.00,0.00,908,0.22,185,13.76,14.70,14.84,11.72
40164,32.92,2.75,0.00,1.22,3.24,-8.13,6.53,0.00,84,1.58,17.00,0.00,911,0.22,185,13.84,14.70,14.84,11.72
40483,34.74,2.75,0.00,1.24,3.42,-8.13,6.53,0.00,84,1.52,17.00,0.00,890,0.22,185,13.76,14.70,14.84,11.72
40802,34.90,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.53,17.50,0.00,903,0.22,185,13.84,14.70,14.84,11.72
41121,33.76,2.75,0.00,1.24,3.33,-7.98,6.67,0.00,84,1.55,17.00,0.00,906,0.23,185,13.68,14.70,14.84,11.72
41439,34.23,2.75,0.00,1.24,3.37,-7.98,6.67,0.00,84,1.52,17.00,0.00,881,0.23,185,13.76,14.70,14.84,11.72
41757,32.51,2.75,0.00,1.22,3.24,-7.98,6.67,0.00,84,1.56,17.00,0.00,901,0.22,185,13.76,14.70,14.84,11.72
42077,32.10,2.75,0.00,1.24,3.37,-7.98,6.67,0.00,84,1.54,17.00,0.00,902,0.22,185,13.76,14.70,14.84,11.72
42394,34.33,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.54,17.00,0.00,910,0.21,185,13.84,14.70,14.84,11.72
42713,32.17,2.75,0.00,1.24,3.26,-8.13,6.67,0.00,84,1.54,16.50,0.00,924,0.22,185,13.68,14.70,14.84,11.72
43032,34.56,2.75,0.00,1.24,3.33,-8.13,6.53,0.00,84,1.56,16.00,0.00,914,0.22,185,13.84,14.70,14.84,11.72
43350,32.66,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.59,16.50,0.00,916,0.21,185,13.84,14.70,14.84,11.72
43669,33.99,2.75,0.00,1.24,3.44,-8.13,6.53,0.00,84,1.59,15.00,0.00,918,0.22,185,13.76,14.70,14.84,11.72
43987,32.55,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.60,17.00,0.00,926,0.21,185,13.76,14.70,14.84,11.72
44306,33.98,2.75,0.00,1.24,3.42,-8.13,6.53,0.00,84,1.56,17.00,0.00,912,0.22,185,13.76,14.59,14.84,11.72
44625,33.61,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.56,17.50,0.00,914,0.21,185,13.84,14.59,14.84,11.72
44944,33.16,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.53,17.50,0.00,918,0.22,185,13.76,14.59,14.84,11.72
45262,33.72,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.55,16.50,0.00,906,0.21,185,13.76,14.59,14.84,10.94
45581,33.37,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.56,17.50,0.00,899,0.22,185,13.76,14.59,14.84,10.94
45900,34.20,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.52,17.00,0.00,878,0.22,185,13.68,14.70,14.84,10.94
46219,33.29,2.75,0.00,1.22,3.17,-8.13,6.53,0.00,84,1.54,17.00,0.00,904,0.21,185,13.84,14.70,14.84,10.94
46537,33.05,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.53,16.50,0.00,921,0.22,185,13.76,14.70,14.84,11.72
46856,34.06,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.54,16.50,0.00,905,0.21,185,13.76,14.70,14.84,11.72
47175,32.28,2.75,0.00,1.24,3.21,-8.13,6.53,0.00,84,1.56,16.50,0.00,906,0.21,185,13.76,14.81,14.84,11.72
47493,34.06,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.52,17.00,0.00,890,0.22,185,13.68,14.70,14.84,11.72
47812,33.93,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.53,17.50,0.00,899,0.22,185,13.84,14.70,14.84,11.72
48132,33.52,2.75,0.00,1.24,3.24,-8.13,6.53,0.00,84,1.51,17.00,0.00,908,0.22,185,13.84,14.70,14.84,11.72
48450,36.00,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.51,17.00,0.00,886,0.22,185,13.84,14.70,14.84,11.72
48768,32.52,2.75,0.00,1.22,3.19,-8.13,6.53,0.00,84,1.57,16.50,0.00,907,0.21,185,13.76,14.70,14.84,11.72
49087,34.37,2.75,0.00,1.24,3.44,-8.13,6.53,0.00,84,1.54,16.00,0.00,904,0.22,185,13.76,14.70,14.84,11.72
49405,33.67,2.75,0.00,1.22,3.24,-8.13,6.53,0.00,84,1.55,17.50,0.00,910,0.21,185,13.76,14.70,14.84,11.72
49724,33.51,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.54,16.50,0.00,922,0.22,185,13.84,14.59,14.84,11.72
50043,34.35,2.75,0.00,1.22,3.35,-8.13,6.53,0.00,84,1.56,16.00,0.00,914,0.21,185,13.76,14.59,14.84,11.72
50362,32.83,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.54,16.50,0.00,905,0.22,185,13.84,14.59,14.84,11.72
50680,33.89,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.55,16.00,0.00,900,0.22,185,13.76,14.59,14.84,11.72
50999,32.92,2.75,0.00,1.22,3.21,-8.13,6.53,0.00,84,1.54,17.50,0.00,904,0.22,185,13.76,14.70,14.84,11.72
51318,32.38,2.75,0.00,1.26,3.40,-8.13,6.53,0.00,84,1.56,16.50,0.00,914,0.22,185,13.76,14.70,14.84,11.72
51636,33.98,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.54,17.50,0.00,908,0.22,185,13.76,14.70,14.84,11.72
51955,33.96,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.56,17.50,0.00,915,0.22,185,13.68,14.70,14.84,11.72
52274,34.16,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.56,15.50,0.00,915,0.22,185,13.76,14.70,14.84,10.94
52593,33.21,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.57,17.00,0.00,908,0.22,185,13.76,14.70,14.84,10.94
52911,34.15,2.75,0.00,1.24,3.42,-8.13,6.53,0.00,84,1.57,16.00,0.00,908,0.22,185,13.76,14.70,14.84,10.94
53231,32.31,2.75,0.00,1.22,3.19,-8.13,6.53,0.00,84,1.57,17.50,0.00,918,0.21,185,13.68,14.59,14.84,10.94
53549,32.63,2.75,0.00,1.26,3.37,-8.13,6.53,0.00,84,1.53,17.00,0.00,896,0.22,185,13.76,14.70,14.84,10.94
53869,34.48,2.75,0.00,1.22,3.33,-8.13,6.53,0.00,84,1.54,17.50,0.00,905,0.21,185,13.68,14.70,14.84,10.94
54187,33.29,2.75,0.00,1.24,3.28,-8.13,6.53,0.00,84,1.58,17.00,0.00,924,0.22,185,13.84,14.70,14.84,10.94
54505,32.96,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.57,16.00,0.00,918,0.22,185,13.76,14.70,14.84,10.94
54823,32.34,2.75,0.00,1.22,3.21,-8.13,6.53,0.00,84,1.58,16.50,0.00,914,0.21,185,13.84,14.70,14.84,10.94
55141,33.78,2.75,0.00,1.24,3.37,-8.13,6.53,0.00,84,1.54,17.00,0.00,904,0.22,185,13.68,14.59,14.84,10.94
55460,33.43,2.75,0.00,1.22,3.21,-8.13,6.53,0.00,84,1.54,17.50,0.00,905,0.21,185,13.84,14.70,14.84,10.94
55779,33.02,2.75,0.00,1.24,3.30,-8.13,6.53,0.00,84,1.54,17.00,0.00,923,0.21,185,13.76,14.70,14.84,10.94
56098,33.47,2.75,0.00,1.22,3.28,-8.13,6.53,0.00,84,1.57,16.00,0.00,920,0.21,185,13.68,14.70,14.84,10.94
56417,33.16,2.75,0.00,1.24,3.26,-8.13,6.53,0.00,84,1.55,17.50,0.00,911,0.22,185,13.84,14.70,14.84,10.94
56736,33.83,2.75,0.00,1.24,3.35,-8.13,6.53,0.00,84,1.54,16.50,0.00,890,0.22,185,13.84,14.70,14.84,10.94
57054,32.78,2.75,0.00,1.22,3.21,-8.13,6.53,0.00,84,1.54,17.50,0.00,904,0.22,185,13.84,14.70,14.84,10.94
57373,33.23,2.75,0.00,1.26,3.37,-8.13,6.53,0.00,84,1.55,17.00,0.00,922,0.22,185,13.84,14.70,14.84,11.72
