Time (msec),Volumetric Efficiency 2.5L (Calculated) (%),Throttle Opening Angle (%),Primary Wastegate Duty Cycle (%),Mass Airflow Sensor Voltage (V),Mass Airflow (g/s),Manifold Relative Pressure (psi),Manifold Absolute Pressure (psi),Knock Correction Advance (degrees),Intake Air Temperature (F),Injector Duty Cycle (%),Ignition Total Timing (degrees),Feedback Knock Correction (4-byte)* (degrees),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Coolant Temperature (F),Battery Voltage (V),A/F Sensor #1 (AFR),A/F Learning #1 (%),A/F Correction #1 (%)
0,35.21,3.14,0.00,1.26,3.68,-7.69,6.96,0.00,86,1.56,15.00,0.00,914,0.24,183,13.84,14.93,14.84,14.06
318,33.56,3.14,0.00,1.26,3.56,-7.84,6.82,0.00,86,1.61,15.50,0.00,942,0.23,183,13.84,14.93,14.84,14.06
637,34.75,3.14,0.00,1.28,3.63,-7.84,6.82,0.00,86,1.56,15.50,0.00,911,0.24,183,13.84,14.70,14.84,14.06
955,34.23,3.14,0.00,1.26,3.53,-7.84,6.82,0.00,86,1.57,16.50,0.00,914,0.24,183,13.84,14.70,14.84,14.06
1274,35.74,3.14,0.00,1.26,3.73,-7.84,6.82,0.00,86,1.55,16.50,0.00,907,0.24,183,13.76,14.70,14.84,14.06
1593,34.38,3.14,0.00,1.26,3.51,-7.84,6.82,0.00,86,1.59,16.50,0.00,932,0.22,183,13.84,14.59,14.84,14.06
1912,33.60,3.14,0.00,1.28,3.68,-7.84,6.82,0.00,86,1.57,16.50,0.00,918,0.24,183,13.84,14.59,14.84,14.06
2231,36.18,3.14,0.00,1.26,3.56,-7.98,6.67,0.00,86,1.60,17.00,0.00,934,0.23,183,13.84,14.59,14.84,13.28
2550,34.26,3.14,0.00,1.28,3.66,-7.98,6.67,0.00,86,1.59,16.00,0.00,951,0.23,183,13.84,14.59,14.84,13.28
2869,36.03,3.14,0.00,1.26,3.51,-7.98,6.67,0.00,86,1.56,18.50,0.00,916,0.23,183,13.84,14.59,14.84,13.28
3187,34.10,3.14,0.00,1.26,3.54,-7.98,6.82,0.00,86,1.57,17.00,0.00,938,0.23,183,13.68,14.59,14.84,13.28
3506,35.62,3.14,0.00,1.24,3.56,-7.98,6.67,0.00,86,1.57,16.50,0.00,918,0.23,183,13.76,14.59,14.84,13.28
3825,34.06,3.14,0.00,1.26,3.54,-7.98,6.67,0.00,86,1.59,16.50,0.00,930,0.24,183,13.84,14.70,14.84,13.28
4145,34.79,3.14,0.00,1.26,3.49,-7.98,6.67,0.00,86,1.59,16.00,0.00,933,0.23,183,13.76,14.59,14.84,13.28
4462,33.14,3.14,0.00,1.26,3.44,-7.98,6.67,0.00,86,1.60,17.00,0.00,928,0.22,183,13.84,14.59,14.84,12.50
4783,34.47,3.14,0.00,1.26,3.49,-8.13,6.67,0.00,86,1.59,16.50,0.00,921,0.23,183,13.76,14.59,14.84,12.50
5101,33.68,3.14,0.00,1.26,3.42,-8.13,6.53,0.00,86,1.61,16.50,0.00,930,0.22,183,13.84,14.59,14.84,12.50
5419,34.12,3.14,0.00,1.24,3.49,-8.13,6.67,0.00,86,1.57,17.00,0.00,910,0.22,183,13.84,14.59,14.84,12.50
5738,33.50,3.14,0.00,1.24,3.35,-7.98,6.67,0.00,86,1.55,18.50,0.00,907,0.22,183,13.84,14.59,14.84,12.50
6057,33.06,2.75,0.00,1.26,3.49,-7.98,6.67,0.00,86,1.55,17.00,0.00,931,0.22,185,13.76,14.70,14.84,12.50
6376,34.56,2.75,0.00,1.24,3.42,-7.98,6.67,0.00,86,1.55,18.00,0.00,911,0.22,185,13.84,14.70,14.84,12.50
6695,33.60,2.75,0.00,1.24,3.37,-7.98,6.67,0.00,86,1.58,17.00,0.00,925,0.22,185,13.76,14.70,14.84,12.50
7013,35.21,2.75,0.00,1.26,3.46,-7.98,6.67,0.00,86,1.52,17.00,0.00,876,0.24,185,13.76,14.70,14.84,12.50
7333,33.89,2.75,0.00,1.24,3.35,-7.98,6.67,0.00,86,1.54,17.50,0.00,892,0.23,185,13.68,14.70,14.84,12.50
7651,33.22,2.75,0.00,1.26,3.44,-7.98,6.67,0.00,86,1.51,17.00,0.00,884,0.23,185,13.84,14.70,14.84,12.50
7969,34.92,2.75,0.00,1.24,3.42,-7.98,6.67,0.00,86,1.54,17.50,0.00,901,0.22,185,13.68,14.70,14.84,12.50
8288,33.77,3.14,0.00,1.26,3.44,-7.98,6.67,0.00,86,1.59,16.50,0.00,929,0.23,185,13.84,14.70,14.84,12.50
8607,35.70,3.14,0.00,1.26,3.56,-7.98,6.67,0.00,86,1.55,16.00,0.00,897,0.24,185,13.84,14.70,14.84,13.28
8925,34.47,3.14,0.00,1.24,3.46,-7.98,6.67,0.00,86,1.58,17.00,0.00,908,0.23,185,13.76,14.70,14.84,13.28
9245,34.06,3.14,0.00,1.26,3.51,-7.98,6.67,0.00,86,1.57,16.00,0.00,917,0.22,185,13.76,14.70,14.84,13.28
9563,34.61,3.14,0.00,1.26,3.39,-7.98,6.67,0.00,86,1.55,17.50,0.00,907,0.22,185,13.84,14.70,14.84,13.28
9882,34.55,3.14,0.00,1.26,3.46,-7.98,6.67,0.00,86,1.55,17.00,0.00,924,0.23,185,13.76,14.59,14.84,12.50
10200,34.37,3.14,0.00,1.24,3.49,-7.98,6.67,0.00,86,1.58,15.00,0.00,937,0.22,185,13.76,14.59,14.84,12.50
10519,33.76,3.14,0.00,1.26,3.44,-7.98,6.67,0.00,86,1.59,16.00,0.00,933,0.23,185,13.76,14.70,14.84,12.50
